"Time","{instance=""44.223.33.156:15692"", job=""amazonmq-rabbitmq""}","{instance=""44.223.33.156:15692"", job=""amazonmq-rabbitmq""}","B {instance=""44.223.33.156:15692"", job=""amazonmq-rabbitmq""}"
2025-03-30 15:17:19,2.22,0,∞
2025-03-30 15:17:20,2.27,0,∞
2025-03-30 15:17:21,2.31,0,∞
2025-03-30 15:17:22,2.35,0,∞
2025-03-30 15:17:23,2.40,0,∞
2025-03-30 15:17:24,2.44,0,∞
2025-03-30 15:17:25,2.48,0,∞
2025-03-30 15:17:26,2.53,0,∞
2025-03-30 15:17:27,2.57,0,∞
2025-03-30 15:17:28,5.67,0,∞
2025-03-30 15:17:29,5.80,0,∞
2025-03-30 15:17:30,5.92,0,∞
2025-03-30 15:17:31,6.05,0,∞
2025-03-30 15:17:32,6.17,0,∞
2025-03-30 15:17:33,6.30,0,∞
2025-03-30 15:17:34,6.42,0,∞
2025-03-30 15:17:35,6.55,0,∞
2025-03-30 15:17:36,6.67,0,∞
2025-03-30 15:17:37,6.80,0,∞
2025-03-30 15:17:38,6.92,0,∞
2025-03-30 15:17:39,7.05,0,∞
2025-03-30 15:17:40,7.17,0,∞
2025-03-30 15:17:41,7.30,0,∞
2025-03-30 15:17:42,7.42,0,∞
2025-03-30 15:17:43,11.0,0,∞
2025-03-30 15:17:44,11.2,0,∞
2025-03-30 15:17:45,11.4,0,∞
2025-03-30 15:17:46,11.7,0,∞
2025-03-30 15:17:47,11.9,0,∞
2025-03-30 15:17:48,12.2,0,∞
2025-03-30 15:17:49,12.4,0,∞
2025-03-30 15:17:50,12.6,0,∞
2025-03-30 15:17:51,12.9,0,∞
2025-03-30 15:17:52,13.1,0,∞
2025-03-30 15:17:53,13.4,0,∞
2025-03-30 15:17:54,13.6,0,∞
2025-03-30 15:17:55,13.8,0,∞
2025-03-30 15:17:56,14.1,0,∞
2025-03-30 15:17:57,14.3,0,∞
2025-03-30 15:17:58,11.9,0,∞
2025-03-30 15:17:59,12.1,0,∞
2025-03-30 15:18:00,12.3,0,∞
2025-03-30 15:18:01,12.5,0,∞
2025-03-30 15:18:02,12.8,0,∞
2025-03-30 15:18:03,13.0,0,∞
2025-03-30 15:18:04,13.2,0,∞
2025-03-30 15:18:05,13.2,0,∞
2025-03-30 15:18:06,13.2,0,∞
2025-03-30 15:18:07,13.2,0,∞
2025-03-30 15:18:08,13.2,0,∞
2025-03-30 15:18:09,13.2,0,∞
2025-03-30 15:18:10,13.2,0,∞
2025-03-30 15:18:11,13.2,0,∞
2025-03-30 15:18:12,13.2,0,∞
2025-03-30 15:18:13,23.1,0,∞
2025-03-30 15:18:14,23.1,0,∞
2025-03-30 15:18:15,23.1,0,∞
2025-03-30 15:18:16,23.1,0,∞
2025-03-30 15:18:17,23.1,0,∞
2025-03-30 15:18:18,23.1,0,∞
2025-03-30 15:18:19,23.1,0,∞
2025-03-30 15:18:20,23.1,0,∞
2025-03-30 15:18:21,23.1,0,∞
2025-03-30 15:18:22,23.1,0,∞
2025-03-30 15:18:23,23.1,0,∞
2025-03-30 15:18:24,23.1,0,∞
2025-03-30 15:18:25,23.1,0,∞
2025-03-30 15:18:26,23.1,0,∞
2025-03-30 15:18:27,23.1,0,∞
2025-03-30 15:18:28,30.1,0,∞
2025-03-30 15:18:29,30.1,0,∞
2025-03-30 15:18:30,30.1,0,∞
2025-03-30 15:18:31,30.1,0,∞
2025-03-30 15:18:32,30.1,0,∞
2025-03-30 15:18:33,30.1,0,∞
2025-03-30 15:18:34,30.1,0,∞
2025-03-30 15:18:35,30.1,0,∞
2025-03-30 15:18:36,30.1,0,∞
2025-03-30 15:18:37,30.1,0,∞
2025-03-30 15:18:38,30.1,0,∞
2025-03-30 15:18:39,30.1,0,∞
2025-03-30 15:18:40,30.1,0,∞
2025-03-30 15:18:41,30.1,0,∞
2025-03-30 15:18:42,30.1,0,∞
2025-03-30 15:18:43,42.4,0,∞
2025-03-30 15:18:44,42.4,0,∞
2025-03-30 15:18:45,42.4,0,∞
2025-03-30 15:18:46,42.4,0,∞
2025-03-30 15:18:47,42.4,0,∞
2025-03-30 15:18:48,42.4,0,∞
2025-03-30 15:18:49,42.4,0,∞
2025-03-30 15:18:50,42.4,0,∞
2025-03-30 15:18:51,42.4,0,∞
2025-03-30 15:18:52,42.4,0,∞
2025-03-30 15:18:53,42.4,0,∞
2025-03-30 15:18:54,42.4,0,∞
2025-03-30 15:18:55,42.4,0,∞
2025-03-30 15:18:56,42.4,0,∞
2025-03-30 15:18:57,42.4,0,∞
2025-03-30 15:18:58,40.0,0,∞
2025-03-30 15:18:59,40.0,0,∞
2025-03-30 15:19:00,40.0,0,∞
