"Time","C {__name__=""rabbitmq_channel_messages_unacked"", instance=""rabbitmq:15692"", job=""rabbitmq""}"
2025-03-28 23:30:00,0.00
2025-03-28 23:30:01,0.00
2025-03-28 23:30:02,0.00
2025-03-28 23:30:03,0.00
2025-03-28 23:30:04,0.00
2025-03-28 23:30:05,0.00
2025-03-28 23:30:06,0.00
2025-03-28 23:30:07,0.00
2025-03-28 23:30:08,0.00
2025-03-28 23:30:09,0.00
2025-03-28 23:30:10,0.00
2025-03-28 23:30:11,0.00
2025-03-28 23:30:12,0.00
2025-03-28 23:30:13,0.00
2025-03-28 23:30:14,0.00
2025-03-28 23:30:15,0.00
2025-03-28 23:30:16,0.00
2025-03-28 23:30:17,0.00
2025-03-28 23:30:18,0.00
2025-03-28 23:30:19,0.00
2025-03-28 23:30:20,0.00
2025-03-28 23:30:21,0.00
2025-03-28 23:30:22,0.00
2025-03-28 23:30:23,0.00
2025-03-28 23:30:24,90.71
2025-03-28 23:30:25,90.44
2025-03-28 23:30:26,90.16
2025-03-28 23:30:27,89.88
2025-03-28 23:30:28,89.61
2025-03-28 23:30:29,20.93
2025-03-28 23:30:30,20.86
2025-03-28 23:30:31,20.79
2025-03-28 23:30:32,20.72
2025-03-28 23:30:33,20.66
2025-03-28 23:30:34,11.38
2025-03-28 23:30:35,11.34
2025-03-28 23:30:36,11.30
2025-03-28 23:30:37,11.27
2025-03-28 23:30:38,11.23
2025-03-28 23:30:39,8.48
2025-03-28 23:30:40,8.45
2025-03-28 23:30:41,8.42
2025-03-28 23:30:42,8.39
2025-03-28 23:30:43,8.37
2025-03-28 23:30:44,6.46
2025-03-28 23:30:45,6.44
2025-03-28 23:30:46,6.42
2025-03-28 23:30:47,6.40
2025-03-28 23:30:48,6.38
2025-03-28 23:30:49,5.32
2025-03-28 23:30:50,5.30
2025-03-28 23:30:51,5.28
2025-03-28 23:30:52,5.26
2025-03-28 23:30:53,5.25
2025-03-28 23:30:54,4.38
2025-03-28 23:30:55,4.37
2025-03-28 23:30:56,4.35
2025-03-28 23:30:57,4.34
2025-03-28 23:30:58,4.32
2025-03-28 23:30:59,3.73
2025-03-28 23:31:00,3.71
2025-03-28 23:31:01,3.70
2025-03-28 23:31:02,3.69
2025-03-28 23:31:03,3.68
2025-03-28 23:31:04,3.24
2025-03-28 23:31:05,3.23
2025-03-28 23:31:06,3.22
2025-03-28 23:31:07,3.21
2025-03-28 23:31:08,3.20
2025-03-28 23:31:09,2.84
2025-03-28 23:31:10,2.83
2025-03-28 23:31:11,2.82
2025-03-28 23:31:12,2.81
