"Time","rabbit@rabbitmq-77d46f474f-ng7cg"
2025-03-28 23:32:24,4.4402 GiB
2025-03-28 23:32:25,4.4402 GiB
2025-03-28 23:32:26,4.4402 GiB
2025-03-28 23:32:27,4.4402 GiB
2025-03-28 23:32:28,4.4402 GiB
2025-03-28 23:32:29,4.4431 GiB
2025-03-28 23:32:30,4.4431 GiB
2025-03-28 23:32:31,4.4431 GiB
2025-03-28 23:32:32,4.4431 GiB
2025-03-28 23:32:33,4.4431 GiB
2025-03-28 23:32:34,4.4433 GiB
2025-03-28 23:32:35,4.4433 GiB
2025-03-28 23:32:36,4.4433 GiB
2025-03-28 23:32:37,4.4433 GiB
2025-03-28 23:32:38,4.4433 GiB
2025-03-28 23:32:39,4.4437 GiB
2025-03-28 23:32:40,4.4437 GiB
2025-03-28 23:32:41,4.4437 GiB
2025-03-28 23:32:42,4.4437 GiB
2025-03-28 23:32:43,4.4437 GiB
2025-03-28 23:32:44,4.4441 GiB
2025-03-28 23:32:45,4.4441 GiB
2025-03-28 23:32:46,4.4441 GiB
2025-03-28 23:32:47,4.4441 GiB
2025-03-28 23:32:48,4.4441 GiB
2025-03-28 23:32:49,4.4449 GiB
2025-03-28 23:32:50,4.4449 GiB
2025-03-28 23:32:51,4.4449 GiB
2025-03-28 23:32:52,4.4449 GiB
2025-03-28 23:32:53,4.4449 GiB
2025-03-28 23:32:54,4.4450 GiB
2025-03-28 23:32:55,4.4450 GiB
2025-03-28 23:32:56,4.4450 GiB
2025-03-28 23:32:57,4.4450 GiB
2025-03-28 23:32:58,4.4450 GiB
2025-03-28 23:32:59,4.4458 GiB
2025-03-28 23:33:00,4.4458 GiB
2025-03-28 23:33:01,4.4458 GiB
2025-03-28 23:33:02,4.4458 GiB
2025-03-28 23:33:03,4.4458 GiB
2025-03-28 23:33:04,4.4448 GiB
2025-03-28 23:33:05,4.4448 GiB
2025-03-28 23:33:06,4.4448 GiB
2025-03-28 23:33:07,4.4448 GiB
2025-03-28 23:33:08,4.4448 GiB
2025-03-28 23:33:09,4.4458 GiB
2025-03-28 23:33:10,4.4458 GiB
2025-03-28 23:33:11,4.4458 GiB
2025-03-28 23:33:12,4.4458 GiB
2025-03-28 23:33:13,4.4458 GiB
2025-03-28 23:33:14,4.4454 GiB
2025-03-28 23:33:15,4.4454 GiB
2025-03-28 23:33:16,4.4454 GiB
2025-03-28 23:33:17,4.4454 GiB
2025-03-28 23:33:18,4.4454 GiB
2025-03-28 23:33:19,4.4455 GiB
2025-03-28 23:33:20,4.4455 GiB
2025-03-28 23:33:21,4.4455 GiB
2025-03-28 23:33:22,4.4455 GiB
2025-03-28 23:33:23,4.4455 GiB
2025-03-28 23:33:24,4.4453 GiB
2025-03-28 23:33:25,4.4453 GiB
2025-03-28 23:33:26,4.4453 GiB
2025-03-28 23:33:27,4.4453 GiB
2025-03-28 23:33:28,4.4453 GiB
2025-03-28 23:33:29,4.4446 GiB
2025-03-28 23:33:30,4.4446 GiB
2025-03-28 23:33:31,4.4446 GiB
2025-03-28 23:33:32,4.4446 GiB
2025-03-28 23:33:33,4.4446 GiB
2025-03-28 23:33:34,4.4453 GiB
2025-03-28 23:33:35,4.4453 GiB
2025-03-28 23:33:36,4.4453 GiB
2025-03-28 23:33:37,4.4453 GiB
2025-03-28 23:33:38,4.4453 GiB
2025-03-28 23:33:39,4.4456 GiB
2025-03-28 23:33:40,4.4456 GiB
2025-03-28 23:33:41,4.4456 GiB
2025-03-28 23:33:42,4.4456 GiB
2025-03-28 23:33:43,4.4456 GiB
2025-03-28 23:33:44,4.4461 GiB
2025-03-28 23:33:45,4.4461 GiB
2025-03-28 23:33:46,4.4461 GiB
2025-03-28 23:33:47,4.4461 GiB
2025-03-28 23:33:48,4.4461 GiB
2025-03-28 23:33:49,4.4463 GiB
2025-03-28 23:33:50,4.4463 GiB
2025-03-28 23:33:51,4.4463 GiB
2025-03-28 23:33:52,4.4463 GiB
2025-03-28 23:33:53,4.4463 GiB
2025-03-28 23:33:54,4.4455 GiB
2025-03-28 23:33:55,4.4455 GiB
2025-03-28 23:33:56,4.4455 GiB
2025-03-28 23:33:57,4.4455 GiB
2025-03-28 23:33:58,4.4455 GiB
2025-03-28 23:33:59,4.4350 GiB
2025-03-28 23:34:00,4.4350 GiB
2025-03-28 23:34:01,4.4350 GiB
2025-03-28 23:34:02,4.4350 GiB
2025-03-28 23:34:03,4.4350 GiB
2025-03-28 23:34:04,4.4353 GiB
2025-03-28 23:34:05,4.4353 GiB
2025-03-28 23:34:06,4.4353 GiB
2025-03-28 23:34:07,4.4353 GiB
2025-03-28 23:34:08,4.4353 GiB
2025-03-28 23:34:09,4.4396 GiB
2025-03-28 23:34:10,4.4396 GiB
2025-03-28 23:34:11,4.4396 GiB
2025-03-28 23:34:12,4.4396 GiB
2025-03-28 23:34:13,4.4396 GiB
2025-03-28 23:34:14,4.4412 GiB
2025-03-28 23:34:15,4.4412 GiB
2025-03-28 23:34:16,4.4412 GiB
2025-03-28 23:34:17,4.4412 GiB
2025-03-28 23:34:18,4.4412 GiB
2025-03-28 23:34:19,4.4442 GiB
2025-03-28 23:34:20,4.4442 GiB
2025-03-28 23:34:21,4.4442 GiB
2025-03-28 23:34:22,4.4442 GiB
2025-03-28 23:34:23,4.4442 GiB
2025-03-28 23:34:24,4.4444 GiB
2025-03-28 23:34:25,4.4444 GiB
2025-03-28 23:34:26,4.4444 GiB
2025-03-28 23:34:27,4.4444 GiB
2025-03-28 23:34:28,4.4444 GiB
2025-03-28 23:34:29,4.4448 GiB
2025-03-28 23:34:30,4.4448 GiB
2025-03-28 23:34:31,4.4448 GiB
2025-03-28 23:34:32,4.4448 GiB
2025-03-28 23:34:33,4.4448 GiB
2025-03-28 23:34:34,4.4442 GiB
2025-03-28 23:34:35,4.4442 GiB
2025-03-28 23:34:36,4.4442 GiB
2025-03-28 23:34:37,4.4442 GiB
2025-03-28 23:34:38,4.4442 GiB
2025-03-28 23:34:39,4.4443 GiB
2025-03-28 23:34:40,4.4443 GiB
2025-03-28 23:34:41,4.4443 GiB
2025-03-28 23:34:42,4.4443 GiB
2025-03-28 23:34:43,4.4443 GiB
2025-03-28 23:34:44,4.4446 GiB
2025-03-28 23:34:45,4.4446 GiB
2025-03-28 23:34:46,4.4446 GiB
2025-03-28 23:34:47,4.4446 GiB
2025-03-28 23:34:48,4.4446 GiB
2025-03-28 23:34:49,4.4449 GiB
2025-03-28 23:34:50,4.4449 GiB
2025-03-28 23:34:51,4.4449 GiB
2025-03-28 23:34:52,4.4449 GiB
2025-03-28 23:34:53,4.4449 GiB
2025-03-28 23:34:54,4.4459 GiB
2025-03-28 23:34:55,4.4459 GiB
2025-03-28 23:34:56,4.4459 GiB
2025-03-28 23:34:57,4.4459 GiB
2025-03-28 23:34:58,4.4459 GiB
2025-03-28 23:34:59,4.4463 GiB
2025-03-28 23:35:00,4.4463 GiB
2025-03-28 23:35:01,4.4463 GiB
2025-03-28 23:35:02,4.4463 GiB
2025-03-28 23:35:03,4.4463 GiB
2025-03-28 23:35:04,4.4465 GiB
2025-03-28 23:35:05,4.4465 GiB
2025-03-28 23:35:06,4.4465 GiB
2025-03-28 23:35:07,4.4465 GiB
2025-03-28 23:35:08,4.4465 GiB
2025-03-28 23:35:09,4.4450 GiB
2025-03-28 23:35:10,4.4450 GiB
2025-03-28 23:35:11,4.4450 GiB
2025-03-28 23:35:12,4.4450 GiB
2025-03-28 23:35:13,4.4450 GiB
2025-03-28 23:35:14,4.4461 GiB
2025-03-28 23:35:15,4.4461 GiB
2025-03-28 23:35:16,4.4461 GiB
2025-03-28 23:35:17,4.4461 GiB
2025-03-28 23:35:18,4.4461 GiB
2025-03-28 23:35:19,4.4462 GiB
2025-03-28 23:35:20,4.4462 GiB
2025-03-28 23:35:21,4.4462 GiB
2025-03-28 23:35:22,4.4462 GiB
2025-03-28 23:35:23,4.4462 GiB
2025-03-28 23:35:24,4.4452 GiB
2025-03-28 23:35:25,4.4452 GiB
2025-03-28 23:35:26,4.4452 GiB
2025-03-28 23:35:27,4.4452 GiB
2025-03-28 23:35:28,4.4452 GiB
2025-03-28 23:35:29,4.4461 GiB
2025-03-28 23:35:30,4.4461 GiB
2025-03-28 23:35:31,4.4461 GiB
2025-03-28 23:35:32,4.4461 GiB
2025-03-28 23:35:33,4.4461 GiB
2025-03-28 23:35:34,4.4464 GiB
2025-03-28 23:35:35,4.4464 GiB
2025-03-28 23:35:36,4.4464 GiB
2025-03-28 23:35:37,4.4464 GiB
2025-03-28 23:35:38,4.4464 GiB
2025-03-28 23:35:39,4.4464 GiB
2025-03-28 23:35:40,4.4464 GiB
2025-03-28 23:35:41,4.4464 GiB
2025-03-28 23:35:42,4.4464 GiB
2025-03-28 23:35:43,4.4464 GiB
2025-03-28 23:35:44,4.4453 GiB
2025-03-28 23:35:45,4.4453 GiB
2025-03-28 23:35:46,4.4453 GiB
2025-03-28 23:35:47,4.4453 GiB
2025-03-28 23:35:48,4.4453 GiB
2025-03-28 23:35:49,4.4456 GiB
2025-03-28 23:35:50,4.4456 GiB
2025-03-28 23:35:51,4.4456 GiB
2025-03-28 23:35:52,4.4456 GiB
2025-03-28 23:35:53,4.4456 GiB
2025-03-28 23:35:54,4.4456 GiB
2025-03-28 23:35:55,4.4456 GiB
2025-03-28 23:35:56,4.4456 GiB
2025-03-28 23:35:57,4.4456 GiB
2025-03-28 23:35:58,4.4456 GiB
2025-03-28 23:35:59,4.4468 GiB
2025-03-28 23:36:00,4.4468 GiB
2025-03-28 23:36:01,4.4468 GiB
2025-03-28 23:36:02,4.4468 GiB
2025-03-28 23:36:03,4.4468 GiB
2025-03-28 23:36:04,4.4455 GiB
2025-03-28 23:36:05,4.4455 GiB
2025-03-28 23:36:06,4.4455 GiB
2025-03-28 23:36:07,4.4455 GiB
2025-03-28 23:36:08,4.4455 GiB
2025-03-28 23:36:09,4.4468 GiB
2025-03-28 23:36:10,4.4468 GiB
2025-03-28 23:36:11,4.4468 GiB
2025-03-28 23:36:12,4.4468 GiB
2025-03-28 23:36:13,4.4468 GiB
2025-03-28 23:36:14,4.4451 GiB
2025-03-28 23:36:15,4.4451 GiB
2025-03-28 23:36:16,4.4451 GiB
2025-03-28 23:36:17,4.4451 GiB
2025-03-28 23:36:18,4.4451 GiB
2025-03-28 23:36:19,4.4453 GiB
2025-03-28 23:36:20,4.4453 GiB
2025-03-28 23:36:21,4.4453 GiB
2025-03-28 23:36:22,4.4453 GiB
2025-03-28 23:36:23,4.4453 GiB
2025-03-28 23:36:24,4.4448 GiB
2025-03-28 23:36:25,4.4448 GiB
2025-03-28 23:36:26,4.4448 GiB
2025-03-28 23:36:27,4.4448 GiB
2025-03-28 23:36:28,4.4448 GiB
2025-03-28 23:36:29,4.4452 GiB
2025-03-28 23:36:30,4.4452 GiB
2025-03-28 23:36:31,4.4452 GiB
2025-03-28 23:36:32,4.4452 GiB
