"Time","C {instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}"
2025-04-08 21:31:00,45.2
2025-04-08 21:31:01,45.2
2025-04-08 21:31:02,45.2
2025-04-08 21:31:03,45.2
2025-04-08 21:31:04,37.2
2025-04-08 21:31:05,37.2
2025-04-08 21:31:06,37.2
2025-04-08 21:31:07,37.2
2025-04-08 21:31:08,37.2
2025-04-08 21:31:09,37.2
2025-04-08 21:31:10,37.2
2025-04-08 21:31:11,37.2
2025-04-08 21:31:12,37.2
2025-04-08 21:31:13,37.2
2025-04-08 21:31:14,37.2
2025-04-08 21:31:15,37.2
2025-04-08 21:31:16,37.2
2025-04-08 21:31:17,37.2
2025-04-08 21:31:18,37.2
2025-04-08 21:31:19,29.1
2025-04-08 21:31:20,29.1
2025-04-08 21:31:21,29.1
2025-04-08 21:31:22,29.1
2025-04-08 21:31:23,29.1
2025-04-08 21:31:24,29.1
2025-04-08 21:31:25,29.1
2025-04-08 21:31:26,29.1
2025-04-08 21:31:27,29.1
2025-04-08 21:31:28,29.1
2025-04-08 21:31:29,29.1
2025-04-08 21:31:30,29.1
2025-04-08 21:31:31,29.1
2025-04-08 21:31:32,29.1
2025-04-08 21:31:33,29.1
2025-04-08 21:31:34,42.4
2025-04-08 21:31:35,42.5
2025-04-08 21:31:36,42.5
2025-04-08 21:31:37,42.6
2025-04-08 21:31:38,42.6
2025-04-08 21:31:39,42.7
2025-04-08 21:31:40,42.7
2025-04-08 21:31:41,42.8
2025-04-08 21:31:42,42.8
2025-04-08 21:31:43,42.9
2025-04-08 21:31:44,42.9
2025-04-08 21:31:45,43.0
2025-04-08 21:31:46,43.0
2025-04-08 21:31:47,43.0
2025-04-08 21:31:48,43.0
2025-04-08 21:31:49,79.6
2025-04-08 21:31:50,79.7
2025-04-08 21:31:51,79.9
2025-04-08 21:31:52,80.1
2025-04-08 21:31:53,80.3
2025-04-08 21:31:54,80.4
2025-04-08 21:31:55,80.6
2025-04-08 21:31:56,80.8
2025-04-08 21:31:57,81.0
2025-04-08 21:31:58,81.1
2025-04-08 21:31:59,81.3
2025-04-08 21:32:00,81.5
2025-04-08 21:32:01,81.7
2025-04-08 21:32:02,81.8
2025-04-08 21:32:03,81.9
2025-04-08 21:32:04,108
2025-04-08 21:32:05,108
2025-04-08 21:32:06,108
2025-04-08 21:32:07,109
2025-04-08 21:32:08,109
2025-04-08 21:32:09,109
2025-04-08 21:32:10,110
2025-04-08 21:32:11,110
2025-04-08 21:32:12,110
2025-04-08 21:32:13,110
2025-04-08 21:32:14,111
2025-04-08 21:32:15,111
2025-04-08 21:32:16,111
2025-04-08 21:32:17,111
2025-04-08 21:32:18,112
2025-04-08 21:32:19,139
2025-04-08 21:32:20,139
2025-04-08 21:32:21,140
2025-04-08 21:32:22,140
2025-04-08 21:32:23,141
2025-04-08 21:32:24,141
2025-04-08 21:32:25,141
2025-04-08 21:32:26,142
2025-04-08 21:32:27,142
2025-04-08 21:32:28,142
2025-04-08 21:32:29,143
