"Time","C {instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}"
2025-04-08 21:23:00,0.0000274
2025-04-08 21:23:01,0.0000274
2025-04-08 21:23:02,0.0000274
2025-04-08 21:23:03,0.0000274
2025-04-08 21:23:04,0.0000274
2025-04-08 21:23:05,0.0000274
2025-04-08 21:23:06,0.0000274
2025-04-08 21:23:07,0.0000274
2025-04-08 21:23:08,0.0000274
2025-04-08 21:23:09,0.0000274
2025-04-08 21:23:10,0.0000274
2025-04-08 21:23:11,0.0000274
2025-04-08 21:23:12,0.0000274
2025-04-08 21:23:13,0.0000274
2025-04-08 21:23:14,0.0000274
2025-04-08 21:23:15,0.0000274
2025-04-08 21:23:16,0.0000274
2025-04-08 21:23:17,0.0000274
2025-04-08 21:23:18,0.0000274
2025-04-08 21:23:19,0.00934
2025-04-08 21:23:20,0.00934
2025-04-08 21:23:21,0.00934
2025-04-08 21:23:22,0.00934
2025-04-08 21:23:23,0.00934
2025-04-08 21:23:24,0.00934
2025-04-08 21:23:25,0.00934
2025-04-08 21:23:26,0.00934
2025-04-08 21:23:27,0.00934
2025-04-08 21:23:28,0.00934
2025-04-08 21:23:29,0.00934
2025-04-08 21:23:30,0.00934
2025-04-08 21:23:31,0.00934
2025-04-08 21:23:32,0.00934
2025-04-08 21:23:33,0.00934
2025-04-08 21:23:34,20.4
2025-04-08 21:23:35,20.4
2025-04-08 21:23:36,20.4
2025-04-08 21:23:37,20.5
2025-04-08 21:23:38,20.5
2025-04-08 21:23:39,20.6
2025-04-08 21:23:40,20.6
2025-04-08 21:23:41,20.7
2025-04-08 21:23:42,20.7
2025-04-08 21:23:43,20.8
2025-04-08 21:23:44,20.8
2025-04-08 21:23:45,20.8
2025-04-08 21:23:46,20.9
2025-04-08 21:23:47,20.9
2025-04-08 21:23:48,20.9
2025-04-08 21:23:49,58.0
2025-04-08 21:23:50,58.1
2025-04-08 21:23:51,58.3
2025-04-08 21:23:52,58.4
2025-04-08 21:23:53,58.6
2025-04-08 21:23:54,58.7
2025-04-08 21:23:55,58.8
2025-04-08 21:23:56,59.0
2025-04-08 21:23:57,59.1
2025-04-08 21:23:58,59.3
2025-04-08 21:23:59,59.4
2025-04-08 21:24:00,59.6
2025-04-08 21:24:01,59.7
2025-04-08 21:24:02,59.9
2025-04-08 21:24:03,60.0
2025-04-08 21:24:04,99.8
2025-04-08 21:24:05,100
2025-04-08 21:24:06,100
2025-04-08 21:24:07,101
2025-04-08 21:24:08,101
2025-04-08 21:24:09,101
2025-04-08 21:24:10,101
2025-04-08 21:24:11,102
2025-04-08 21:24:12,102
2025-04-08 21:24:13,102
2025-04-08 21:24:14,102
2025-04-08 21:24:15,103
2025-04-08 21:24:16,103
2025-04-08 21:24:17,103
2025-04-08 21:24:18,104
2025-04-08 21:24:19,146
2025-04-08 21:24:20,147
2025-04-08 21:24:21,147
2025-04-08 21:24:22,147
2025-04-08 21:24:23,148
2025-04-08 21:24:24,148
2025-04-08 21:24:25,149
2025-04-08 21:24:26,149
2025-04-08 21:24:27,149
2025-04-08 21:24:28,150
2025-04-08 21:24:29,150
2025-04-08 21:24:30,150
2025-04-08 21:24:31,151
2025-04-08 21:24:32,151
2025-04-08 21:24:33,152
2025-04-08 21:24:34,162
2025-04-08 21:24:35,163
2025-04-08 21:24:36,163
2025-04-08 21:24:37,164
2025-04-08 21:24:38,164
2025-04-08 21:24:39,165
2025-04-08 21:24:40,165
2025-04-08 21:24:41,165
2025-04-08 21:24:42,166
2025-04-08 21:24:43,166
2025-04-08 21:24:44,167
2025-04-08 21:24:45,167
2025-04-08 21:24:46,168
2025-04-08 21:24:47,168
2025-04-08 21:24:48,168
2025-04-08 21:24:49,171
2025-04-08 21:24:50,171
2025-04-08 21:24:51,172
2025-04-08 21:24:52,172
2025-04-08 21:24:53,172
2025-04-08 21:24:54,173
2025-04-08 21:24:55,173
2025-04-08 21:24:56,174
2025-04-08 21:24:57,174
2025-04-08 21:24:58,175
2025-04-08 21:24:59,175
2025-04-08 21:25:00,175
2025-04-08 21:25:01,176
2025-04-08 21:25:02,176
2025-04-08 21:25:03,177
2025-04-08 21:25:04,179
2025-04-08 21:25:05,179
2025-04-08 21:25:06,180
2025-04-08 21:25:07,180
2025-04-08 21:25:08,181
2025-04-08 21:25:09,181
2025-04-08 21:25:10,181
2025-04-08 21:25:11,182
2025-04-08 21:25:12,182
2025-04-08 21:25:13,183
2025-04-08 21:25:14,183
2025-04-08 21:25:15,184
2025-04-08 21:25:16,184
2025-04-08 21:25:17,184
2025-04-08 21:25:18,185
2025-04-08 21:25:19,187
2025-04-08 21:25:20,188
2025-04-08 21:25:21,188
2025-04-08 21:25:22,188
2025-04-08 21:25:23,189
2025-04-08 21:25:24,189
2025-04-08 21:25:25,190
2025-04-08 21:25:26,190
2025-04-08 21:25:27,191
2025-04-08 21:25:28,191
2025-04-08 21:25:29,191
2025-04-08 21:25:30,192
2025-04-08 21:25:31,192
2025-04-08 21:25:32,193
2025-04-08 21:25:33,193
2025-04-08 21:25:34,195
2025-04-08 21:25:35,196
2025-04-08 21:25:36,196
2025-04-08 21:25:37,197
2025-04-08 21:25:38,197
2025-04-08 21:25:39,197
2025-04-08 21:25:40,198
2025-04-08 21:25:41,198
2025-04-08 21:25:42,199
2025-04-08 21:25:43,199
2025-04-08 21:25:44,199
2025-04-08 21:25:45,200
2025-04-08 21:25:46,200
2025-04-08 21:25:47,201
2025-04-08 21:25:48,201
2025-04-08 21:25:49,203
2025-04-08 21:25:50,204
2025-04-08 21:25:51,204
2025-04-08 21:25:52,205
2025-04-08 21:25:53,205
2025-04-08 21:25:54,206
2025-04-08 21:25:55,206
2025-04-08 21:25:56,206
2025-04-08 21:25:57,207
2025-04-08 21:25:58,207
2025-04-08 21:25:59,208
2025-04-08 21:26:00,208
2025-04-08 21:26:01,209
2025-04-08 21:26:02,209
2025-04-08 21:26:03,209
2025-04-08 21:26:04,212
2025-04-08 21:26:05,212
