"Time","{instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}","{instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}","B {instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}"
2025-04-08 21:23:00,0,0,NaN
2025-04-08 21:23:01,0,0,NaN
2025-04-08 21:23:02,0,0,NaN
2025-04-08 21:23:03,0,0,NaN
2025-04-08 21:23:04,0,0,NaN
2025-04-08 21:23:05,0,0,NaN
2025-04-08 21:23:06,0,0,NaN
2025-04-08 21:23:07,0,0,NaN
2025-04-08 21:23:08,0,0,NaN
2025-04-08 21:23:09,0,0,NaN
2025-04-08 21:23:10,0,0,NaN
2025-04-08 21:23:11,0,0,NaN
2025-04-08 21:23:12,0,0,NaN
2025-04-08 21:23:13,0,0,NaN
2025-04-08 21:23:14,0,0,NaN
2025-04-08 21:23:15,0,0,NaN
2025-04-08 21:23:16,0,0,NaN
2025-04-08 21:23:17,0,0,NaN
2025-04-08 21:23:18,0,0,NaN
2025-04-08 21:23:19,0,0,NaN
2025-04-08 21:23:20,0,0,NaN
2025-04-08 21:23:21,0,0,NaN
2025-04-08 21:23:22,0,0,NaN
2025-04-08 21:23:23,0,0,NaN
2025-04-08 21:23:24,0,0,NaN
2025-04-08 21:23:25,0,0,NaN
2025-04-08 21:23:26,0,0,NaN
2025-04-08 21:23:27,0,0,NaN
2025-04-08 21:23:28,0,0,NaN
2025-04-08 21:23:29,0,0,NaN
2025-04-08 21:23:30,0,0,NaN
2025-04-08 21:23:31,0,0,NaN
2025-04-08 21:23:32,0,0,NaN
2025-04-08 21:23:33,0,0,NaN
2025-04-08 21:23:34,0.560,0,∞
2025-04-08 21:23:35,0.572,0,∞
2025-04-08 21:23:36,0.584,0,∞
2025-04-08 21:23:37,0.596,0,∞
2025-04-08 21:23:38,0.609,0,∞
2025-04-08 21:23:39,0.621,0,∞
2025-04-08 21:23:40,0.633,0,∞
2025-04-08 21:23:41,0.645,0,∞
2025-04-08 21:23:42,0.658,0,∞
2025-04-08 21:23:43,0.670,0,∞
2025-04-08 21:23:44,0.682,0,∞
2025-04-08 21:23:45,0.694,0,∞
2025-04-08 21:23:46,0.706,0,∞
2025-04-08 21:23:47,0.719,0,∞
2025-04-08 21:23:48,0.731,0,∞
2025-04-08 21:23:49,2.10,0,∞
2025-04-08 21:23:50,2.15,0,∞
2025-04-08 21:23:51,2.20,0,∞
2025-04-08 21:23:52,2.24,0,∞
2025-04-08 21:23:53,2.29,0,∞
2025-04-08 21:23:54,2.33,0,∞
2025-04-08 21:23:55,2.38,0,∞
2025-04-08 21:23:56,2.43,0,∞
2025-04-08 21:23:57,2.47,0,∞
2025-04-08 21:23:58,2.52,0,∞
2025-04-08 21:23:59,2.56,0,∞
2025-04-08 21:24:00,2.61,0,∞
2025-04-08 21:24:01,2.65,0,∞
2025-04-08 21:24:02,2.70,0,∞
2025-04-08 21:24:03,2.75,0,∞
2025-04-08 21:24:04,4.17,0,∞
2025-04-08 21:24:05,4.26,0,∞
2025-04-08 21:24:06,4.36,0,∞
2025-04-08 21:24:07,4.45,0,∞
2025-04-08 21:24:08,4.54,0,∞
2025-04-08 21:24:09,4.63,0,∞
2025-04-08 21:24:10,4.72,0,∞
2025-04-08 21:24:11,4.81,0,∞
2025-04-08 21:24:12,4.90,0,∞
2025-04-08 21:24:13,4.99,0,∞
2025-04-08 21:24:14,5.08,0,∞
2025-04-08 21:24:15,5.18,0,∞
2025-04-08 21:24:16,5.27,0,∞
2025-04-08 21:24:17,5.36,0,∞
2025-04-08 21:24:18,5.45,0,∞
2025-04-08 21:24:19,6.13,0,∞
2025-04-08 21:24:20,6.25,0,∞
2025-04-08 21:24:21,6.38,0,∞
2025-04-08 21:24:22,6.50,0,∞
2025-04-08 21:24:23,6.62,0,∞
2025-04-08 21:24:24,6.74,0,∞
2025-04-08 21:24:25,6.86,0,∞
2025-04-08 21:24:26,6.98,0,∞
2025-04-08 21:24:27,7.11,0,∞
2025-04-08 21:24:28,7.23,0,∞
2025-04-08 21:24:29,7.31,0,∞
2025-04-08 21:24:30,7.31,0,∞
2025-04-08 21:24:31,7.31,0,∞
2025-04-08 21:24:32,7.31,0,∞
2025-04-08 21:24:33,7.31,0,∞
2025-04-08 21:24:34,6.38,0,∞
2025-04-08 21:24:35,6.38,0,∞
2025-04-08 21:24:36,6.38,0,∞
2025-04-08 21:24:37,6.38,0,∞
2025-04-08 21:24:38,6.38,0,∞
2025-04-08 21:24:39,6.38,0,∞
2025-04-08 21:24:40,6.38,0,∞
2025-04-08 21:24:41,6.38,0,∞
2025-04-08 21:24:42,6.38,0,∞
2025-04-08 21:24:43,6.38,0,∞
2025-04-08 21:24:44,6.38,0,∞
2025-04-08 21:24:45,6.38,0,∞
2025-04-08 21:24:46,6.38,0,∞
2025-04-08 21:24:47,6.38,0,∞
2025-04-08 21:24:48,6.38,0,∞
2025-04-08 21:24:49,12.0,0,∞
2025-04-08 21:24:50,12.0,0,∞
2025-04-08 21:24:51,12.0,0,∞
2025-04-08 21:24:52,12.0,0,∞
2025-04-08 21:24:53,12.0,0,∞
2025-04-08 21:24:54,12.0,0,∞
2025-04-08 21:24:55,12.0,0,∞
2025-04-08 21:24:56,12.0,0,∞
2025-04-08 21:24:57,12.0,0,∞
2025-04-08 21:24:58,12.0,0,∞
2025-04-08 21:24:59,12.0,0,∞
2025-04-08 21:25:00,12.0,0,∞
2025-04-08 21:25:01,12.0,0,∞
2025-04-08 21:25:02,12.0,0,∞
2025-04-08 21:25:03,12.0,0,∞
2025-04-08 21:25:04,17.2,0,∞
2025-04-08 21:25:05,17.2,0,∞
2025-04-08 21:25:06,17.2,0,∞
2025-04-08 21:25:07,17.2,0,∞
2025-04-08 21:25:08,17.2,0,∞
2025-04-08 21:25:09,17.2,0,∞
2025-04-08 21:25:10,17.2,0,∞
2025-04-08 21:25:11,17.2,0,∞
2025-04-08 21:25:12,17.2,0,∞
2025-04-08 21:25:13,17.2,0,∞
2025-04-08 21:25:14,17.2,0,∞
2025-04-08 21:25:15,17.2,0,∞
2025-04-08 21:25:16,17.2,0,∞
2025-04-08 21:25:17,17.2,0,∞
2025-04-08 21:25:18,17.2,0,∞
2025-04-08 21:25:19,23.1,0,∞
2025-04-08 21:25:20,23.1,0,∞
2025-04-08 21:25:21,23.1,0,∞
2025-04-08 21:25:22,23.1,0,∞
2025-04-08 21:25:23,23.1,0,∞
2025-04-08 21:25:24,23.1,0,∞
2025-04-08 21:25:25,23.1,0,∞
2025-04-08 21:25:26,23.1,0,∞
2025-04-08 21:25:27,23.1,0,∞
2025-04-08 21:25:28,23.1,0,∞
2025-04-08 21:25:29,23.1,0,∞
2025-04-08 21:25:30,23.1,0,∞
2025-04-08 21:25:31,23.1,0,∞
2025-04-08 21:25:32,23.1,0,∞
2025-04-08 21:25:33,23.1,0,∞
2025-04-08 21:25:34,20.9,0,∞
2025-04-08 21:25:35,20.9,0,∞
2025-04-08 21:25:36,20.9,0,∞
2025-04-08 21:25:37,20.9,0,∞
2025-04-08 21:25:38,20.9,0,∞
2025-04-08 21:25:39,20.9,0,∞
2025-04-08 21:25:40,20.9,0,∞
2025-04-08 21:25:41,20.9,0,∞
2025-04-08 21:25:42,20.9,0,∞
2025-04-08 21:25:43,20.9,0,∞
2025-04-08 21:25:44,20.9,0,∞
2025-04-08 21:25:45,20.9,0,∞
2025-04-08 21:25:46,20.9,0,∞
2025-04-08 21:25:47,20.9,0,∞
2025-04-08 21:25:48,20.9,0,∞
2025-04-08 21:25:49,18.5,0,∞
2025-04-08 21:25:50,18.5,0,∞
2025-04-08 21:25:51,18.5,0,∞
2025-04-08 21:25:52,18.5,0,∞
2025-04-08 21:25:53,18.5,0,∞
2025-04-08 21:25:54,18.5,0,∞
2025-04-08 21:25:55,18.5,0,∞
2025-04-08 21:25:56,18.5,0,∞
2025-04-08 21:25:57,18.5,0,∞
2025-04-08 21:25:58,18.5,0,∞
2025-04-08 21:25:59,18.5,0,∞
2025-04-08 21:26:00,18.5,0,∞
2025-04-08 21:26:01,18.5,0,∞
2025-04-08 21:26:02,18.5,0,∞
2025-04-08 21:26:03,18.5,0,∞
2025-04-08 21:26:04,16.1,0,∞
2025-04-08 21:26:05,16.1,0,∞
2025-04-08 21:26:06,16.1,0,∞
2025-04-08 21:26:07,16.1,0,∞
2025-04-08 21:26:08,16.1,0,∞
2025-04-08 21:26:09,16.1,0,∞
2025-04-08 21:26:10,16.1,0,∞
2025-04-08 21:26:11,16.1,0,∞
2025-04-08 21:26:12,16.1,0,∞
2025-04-08 21:26:13,16.1,0,∞
2025-04-08 21:26:14,16.1,0,∞
2025-04-08 21:26:15,16.1,0,∞
2025-04-08 21:26:16,16.1,0,∞
2025-04-08 21:26:17,16.1,0,∞
2025-04-08 21:26:18,16.1,0,∞
2025-04-08 21:26:19,13.7,0,∞
2025-04-08 21:26:20,13.7,0,∞
2025-04-08 21:26:21,13.7,0,∞
2025-04-08 21:26:22,13.7,0,∞
2025-04-08 21:26:23,13.7,0,∞
2025-04-08 21:26:24,13.7,0,∞
2025-04-08 21:26:25,13.7,0,∞
2025-04-08 21:26:26,13.7,0,∞
2025-04-08 21:26:27,13.7,0,∞
2025-04-08 21:26:28,13.7,0,∞
2025-04-08 21:26:29,13.7,0,∞
2025-04-08 21:26:30,13.7,0,∞
2025-04-08 21:26:31,13.7,0,∞
2025-04-08 21:26:32,13.7,0,∞
2025-04-08 21:26:33,13.7,0,∞
2025-04-08 21:26:34,11.3,0,∞
