"Time","rabbit@rabbitmq-77d46f474f-ng7cg"
2025-04-07 00:11:24,4.4434 GiB
2025-04-07 00:11:25,4.4434 GiB
2025-04-07 00:11:26,4.4434 GiB
2025-04-07 00:11:27,4.4434 GiB
2025-04-07 00:11:28,4.4434 GiB
2025-04-07 00:11:29,4.4437 GiB
2025-04-07 00:11:30,4.4437 GiB
2025-04-07 00:11:31,4.4437 GiB
2025-04-07 00:11:32,4.4437 GiB
2025-04-07 00:11:33,4.4437 GiB
2025-04-07 00:11:34,4.4450 GiB
2025-04-07 00:11:35,4.4450 GiB
2025-04-07 00:11:36,4.4450 GiB
2025-04-07 00:11:37,4.4450 GiB
2025-04-07 00:11:38,4.4450 GiB
2025-04-07 00:11:39,4.4454 GiB
2025-04-07 00:11:40,4.4454 GiB
2025-04-07 00:11:41,4.4454 GiB
2025-04-07 00:11:42,4.4454 GiB
2025-04-07 00:11:43,4.4454 GiB
2025-04-07 00:11:44,4.4464 GiB
2025-04-07 00:11:45,4.4464 GiB
2025-04-07 00:11:46,4.4464 GiB
2025-04-07 00:11:47,4.4464 GiB
2025-04-07 00:11:48,4.4464 GiB
2025-04-07 00:11:49,4.4449 GiB
2025-04-07 00:11:50,4.4449 GiB
2025-04-07 00:11:51,4.4449 GiB
2025-04-07 00:11:52,4.4449 GiB
2025-04-07 00:11:53,4.4449 GiB
2025-04-07 00:11:54,4.4443 GiB
2025-04-07 00:11:55,4.4443 GiB
2025-04-07 00:11:56,4.4443 GiB
2025-04-07 00:11:57,4.4443 GiB
2025-04-07 00:11:58,4.4443 GiB
2025-04-07 00:11:59,4.4409 GiB
2025-04-07 00:12:00,4.4409 GiB
2025-04-07 00:12:01,4.4409 GiB
2025-04-07 00:12:02,4.4409 GiB
2025-04-07 00:12:03,4.4409 GiB
2025-04-07 00:12:04,4.4441 GiB
2025-04-07 00:12:05,4.4441 GiB
2025-04-07 00:12:06,4.4441 GiB
2025-04-07 00:12:07,4.4441 GiB
2025-04-07 00:12:08,4.4441 GiB
2025-04-07 00:12:09,4.4442 GiB
2025-04-07 00:12:10,4.4442 GiB
2025-04-07 00:12:11,4.4442 GiB
2025-04-07 00:12:12,4.4442 GiB
2025-04-07 00:12:13,4.4442 GiB
2025-04-07 00:12:14,4.4435 GiB
2025-04-07 00:12:15,4.4435 GiB
2025-04-07 00:12:16,4.4435 GiB
2025-04-07 00:12:17,4.4435 GiB
2025-04-07 00:12:18,4.4435 GiB
2025-04-07 00:12:19,4.4445 GiB
2025-04-07 00:12:20,4.4445 GiB
2025-04-07 00:12:21,4.4445 GiB
2025-04-07 00:12:22,4.4445 GiB
2025-04-07 00:12:23,4.4445 GiB
2025-04-07 00:12:24,4.4448 GiB
2025-04-07 00:12:25,4.4448 GiB
2025-04-07 00:12:26,4.4448 GiB
2025-04-07 00:12:27,4.4448 GiB
2025-04-07 00:12:28,4.4448 GiB
2025-04-07 00:12:29,4.4450 GiB
2025-04-07 00:12:30,4.4450 GiB
2025-04-07 00:12:31,4.4450 GiB
2025-04-07 00:12:32,4.4450 GiB
2025-04-07 00:12:33,4.4450 GiB
2025-04-07 00:12:34,4.4443 GiB
2025-04-07 00:12:35,4.4443 GiB
2025-04-07 00:12:36,4.4443 GiB
2025-04-07 00:12:37,4.4443 GiB
2025-04-07 00:12:38,4.4443 GiB
2025-04-07 00:12:39,4.4449 GiB
2025-04-07 00:12:40,4.4449 GiB
2025-04-07 00:12:41,4.4449 GiB
2025-04-07 00:12:42,4.4449 GiB
2025-04-07 00:12:43,4.4449 GiB
2025-04-07 00:12:44,4.4448 GiB
2025-04-07 00:12:45,4.4448 GiB
2025-04-07 00:12:46,4.4448 GiB
2025-04-07 00:12:47,4.4448 GiB
2025-04-07 00:12:48,4.4448 GiB
2025-04-07 00:12:49,4.4463 GiB
2025-04-07 00:12:50,4.4463 GiB
2025-04-07 00:12:51,4.4463 GiB
2025-04-07 00:12:52,4.4463 GiB
2025-04-07 00:12:53,4.4463 GiB
2025-04-07 00:12:54,4.4447 GiB
2025-04-07 00:12:55,4.4447 GiB
2025-04-07 00:12:56,4.4447 GiB
2025-04-07 00:12:57,4.4447 GiB
2025-04-07 00:12:58,4.4447 GiB
2025-04-07 00:12:59,4.4460 GiB
2025-04-07 00:13:00,4.4460 GiB
2025-04-07 00:13:01,4.4460 GiB
2025-04-07 00:13:02,4.4460 GiB
2025-04-07 00:13:03,4.4460 GiB
2025-04-07 00:13:04,4.4445 GiB
2025-04-07 00:13:05,4.4445 GiB
2025-04-07 00:13:06,4.4445 GiB
2025-04-07 00:13:07,4.4445 GiB
2025-04-07 00:13:08,4.4445 GiB
2025-04-07 00:13:09,4.4455 GiB
