"Time","{instance=""rabbitmq:15692"", job=""rabbitmq""}","{instance=""rabbitmq:15692"", job=""rabbitmq""}","B {instance=""rabbitmq:15692"", job=""rabbitmq""}"
2025-03-28 23:31:02,3.66,0,∞
2025-03-28 23:31:03,3.73,0,∞
2025-03-28 23:31:04,4.12,0,∞
2025-03-28 23:31:05,4.19,0,∞
2025-03-28 23:31:06,4.27,0,∞
2025-03-28 23:31:07,4.34,0,∞
2025-03-28 23:31:08,4.41,0,∞
2025-03-28 23:31:09,4.78,0,∞
2025-03-28 23:31:10,4.86,0,∞
2025-03-28 23:31:11,4.95,0,∞
2025-03-28 23:31:12,5.03,0,∞
2025-03-28 23:31:13,5.12,0,∞
2025-03-28 23:31:14,5.40,0,∞
2025-03-28 23:31:15,5.50,0,∞
2025-03-28 23:31:16,5.60,0,∞
2025-03-28 23:31:17,5.69,0,∞
2025-03-28 23:31:18,5.79,0,∞
2025-03-28 23:31:19,6.06,0,∞
2025-03-28 23:31:20,6.17,0,∞
2025-03-28 23:31:21,6.28,0,∞
2025-03-28 23:31:22,6.39,0,∞
2025-03-28 23:31:23,6.49,0,∞
2025-03-28 23:31:24,6.62,0,∞
2025-03-28 23:31:25,6.73,0,∞
2025-03-28 23:31:26,6.85,0,∞
2025-03-28 23:31:27,6.97,0,∞
2025-03-28 23:31:28,7.05,0,∞
2025-03-28 23:31:29,13.0,0,∞
2025-03-28 23:31:30,13.3,0,∞
2025-03-28 23:31:31,13.5,0,∞
2025-03-28 23:31:32,13.7,0,∞
2025-03-28 23:31:33,13.8,0,∞
2025-03-28 23:31:34,19.2,0,∞
2025-03-28 23:31:35,19.6,0,∞
2025-03-28 23:31:36,19.9,0,∞
2025-03-28 23:31:37,20.0,0,∞
2025-03-28 23:31:38,20.0,0,∞
2025-03-28 23:31:39,25.2,0,∞
2025-03-28 23:31:40,25.6,0,∞
2025-03-28 23:31:41,25.7,0,∞
2025-03-28 23:31:42,25.7,0,∞
2025-03-28 23:31:43,25.7,0,∞
2025-03-28 23:31:44,31.0,0,∞
2025-03-28 23:31:45,31.1,0,∞
2025-03-28 23:31:46,31.1,0,∞
2025-03-28 23:31:47,31.1,0,∞
2025-03-28 23:31:48,31.1,0,∞
2025-03-28 23:31:49,36.4,0,∞
2025-03-28 23:31:50,36.4,0,∞
2025-03-28 23:31:51,36.4,0,∞
2025-03-28 23:31:52,36.4,0,∞
2025-03-28 23:31:53,36.4,0,∞
2025-03-28 23:31:54,41.4,0,∞
2025-03-28 23:31:55,41.4,0,∞
2025-03-28 23:31:56,41.4,0,∞
2025-03-28 23:31:57,41.4,0,∞
2025-03-28 23:31:58,41.4,0,∞
2025-03-28 23:31:59,46.2,0,∞
2025-03-28 23:32:00,46.2,0,∞
2025-03-28 23:32:01,46.2,0,∞
2025-03-28 23:32:02,46.2,0,∞
2025-03-28 23:32:03,46.2,0,∞
2025-03-28 23:32:04,50.8,0,∞
2025-03-28 23:32:05,50.8,0,∞
2025-03-28 23:32:06,50.8,0,∞
2025-03-28 23:32:07,50.8,0,∞
2025-03-28 23:32:08,50.8,0,∞
2025-03-28 23:32:09,55.1,0,∞
2025-03-28 23:32:10,55.1,0,∞
2025-03-28 23:32:11,55.1,0,∞
2025-03-28 23:32:12,55.1,0,∞
2025-03-28 23:32:13,55.1,0,∞
2025-03-28 23:32:14,59.2,0,∞
2025-03-28 23:32:15,59.2,0,∞
2025-03-28 23:32:16,59.2,0,∞
2025-03-28 23:32:17,59.2,0,∞
2025-03-28 23:32:18,59.2,0,∞
2025-03-28 23:32:19,63.2,0,∞
2025-03-28 23:32:20,63.2,0,∞
2025-03-28 23:32:21,63.2,0,∞
2025-03-28 23:32:22,63.2,0,∞
2025-03-28 23:32:23,63.2,0,∞
2025-03-28 23:32:24,56.3,0,∞
2025-03-28 23:32:25,56.3,0,∞
2025-03-28 23:32:26,56.3,0,∞
2025-03-28 23:32:27,56.3,0,∞
2025-03-28 23:32:28,56.3,0,∞
2025-03-28 23:32:29,54.0,0,∞
2025-03-28 23:32:30,54.0,0,∞
2025-03-28 23:32:31,54.0,0,∞
2025-03-28 23:32:32,54.0,0,∞
2025-03-28 23:32:33,54.0,0,∞
2025-03-28 23:32:34,51.7,0,∞
2025-03-28 23:32:35,51.7,0,∞
2025-03-28 23:32:36,51.7,0,∞
2025-03-28 23:32:37,51.7,0,∞
2025-03-28 23:32:38,51.7,0,∞
2025-03-28 23:32:39,49.4,0,∞
2025-03-28 23:32:40,49.4,0,∞
2025-03-28 23:32:41,49.4,0,∞
2025-03-28 23:32:42,49.4,0,∞
2025-03-28 23:32:43,49.4,0,∞
2025-03-28 23:32:44,47.1,0,∞
2025-03-28 23:32:45,47.1,0,∞
2025-03-28 23:32:46,47.1,0,∞
2025-03-28 23:32:47,47.1,0,∞
2025-03-28 23:32:48,47.1,0,∞
2025-03-28 23:32:49,44.9,0,∞
2025-03-28 23:32:50,44.9,0,∞
2025-03-28 23:32:51,44.9,0,∞
2025-03-28 23:32:52,44.9,0,∞
2025-03-28 23:32:53,44.9,0,∞
