"Time","C {instance=""rabbitmq:15692"", job=""rabbitmq""}"
2025-04-06 23:47:00,0.000583
2025-04-06 23:47:01,0.000583
2025-04-06 23:47:02,0.000583
2025-04-06 23:47:03,0.000583
2025-04-06 23:47:04,0.000636
2025-04-06 23:47:05,0.000636
2025-04-06 23:47:06,0.000636
2025-04-06 23:47:07,0.000636
2025-04-06 23:47:08,0.000636
2025-04-06 23:47:09,0.000636
2025-04-06 23:47:10,0.000636
2025-04-06 23:47:11,0.000636
2025-04-06 23:47:12,0.000636
2025-04-06 23:47:13,0.000636
2025-04-06 23:47:14,0.000636
2025-04-06 23:47:15,0.000636
2025-04-06 23:47:16,0.000636
2025-04-06 23:47:17,0.000636
2025-04-06 23:47:18,0.000636
2025-04-06 23:47:19,0.000636
2025-04-06 23:47:20,0.000636
2025-04-06 23:47:21,0.000636
2025-04-06 23:47:22,0.000636
2025-04-06 23:47:23,0.000636
2025-04-06 23:47:24,0.000636
2025-04-06 23:47:25,0.000636
2025-04-06 23:47:26,0.000636
2025-04-06 23:47:27,0.000636
2025-04-06 23:47:28,0.000636
2025-04-06 23:47:29,0.453
2025-04-06 23:47:30,0.453
2025-04-06 23:47:31,0.453
2025-04-06 23:47:32,0.453
2025-04-06 23:47:33,0.453
2025-04-06 23:47:34,5.28
2025-04-06 23:47:35,5.30
2025-04-06 23:47:36,5.31
2025-04-06 23:47:37,5.33
2025-04-06 23:47:38,5.34
2025-04-06 23:47:39,14.2
2025-04-06 23:47:40,14.3
2025-04-06 23:47:41,14.3
2025-04-06 23:47:42,14.4
2025-04-06 23:47:43,14.4
2025-04-06 23:47:44,26.5
2025-04-06 23:47:45,26.6
2025-04-06 23:47:46,26.7
2025-04-06 23:47:47,26.8
2025-04-06 23:47:48,26.8
2025-04-06 23:47:49,41.8
2025-04-06 23:47:50,41.9
2025-04-06 23:47:51,42.1
2025-04-06 23:47:52,42.2
2025-04-06 23:47:53,42.4
2025-04-06 23:47:54,59.7
2025-04-06 23:47:55,59.9
2025-04-06 23:47:56,60.1
2025-04-06 23:47:57,60.3
2025-04-06 23:47:58,60.5
2025-04-06 23:47:59,81.8
2025-04-06 23:48:00,82.0
2025-04-06 23:48:01,82.3
2025-04-06 23:48:02,82.6
2025-04-06 23:48:03,82.9
2025-04-06 23:48:04,103
2025-04-06 23:48:05,104
2025-04-06 23:48:06,104
2025-04-06 23:48:07,104
2025-04-06 23:48:08,105
2025-04-06 23:48:09,129
2025-04-06 23:48:10,129
2025-04-06 23:48:11,129
2025-04-06 23:48:12,130
2025-04-06 23:48:13,130
2025-04-06 23:48:14,156
2025-04-06 23:48:15,157
2025-04-06 23:48:16,157
2025-04-06 23:48:17,158
2025-04-06 23:48:18,158
2025-04-06 23:48:19,186
2025-04-06 23:48:20,187
2025-04-06 23:48:21,187
2025-04-06 23:48:22,188
2025-04-06 23:48:23,189
2025-04-06 23:48:24,218
2025-04-06 23:48:25,219
2025-04-06 23:48:26,220
2025-04-06 23:48:27,220
2025-04-06 23:48:28,221
2025-04-06 23:48:29,222
2025-04-06 23:48:30,223
2025-04-06 23:48:31,224
2025-04-06 23:48:32,225
2025-04-06 23:48:33,225
2025-04-06 23:48:34,227
2025-04-06 23:48:35,227
