"Time","{instance=""rabbitmq:15692"", job=""rabbitmq""}","{instance=""rabbitmq:15692"", job=""rabbitmq""}","B {instance=""rabbitmq:15692"", job=""rabbitmq""}"
2025-04-06 23:47:00,0,0,NaN
2025-04-06 23:47:01,0,0,NaN
2025-04-06 23:47:02,0,0,NaN
2025-04-06 23:47:03,0,0,NaN
2025-04-06 23:47:04,0,0,NaN
2025-04-06 23:47:05,0,0,NaN
2025-04-06 23:47:06,0,0,NaN
2025-04-06 23:47:07,0,0,NaN
2025-04-06 23:47:08,0,0,NaN
2025-04-06 23:47:09,0,0,NaN
2025-04-06 23:47:10,0,0,NaN
2025-04-06 23:47:11,0,0,NaN
2025-04-06 23:47:12,0,0,NaN
2025-04-06 23:47:13,0,0,NaN
2025-04-06 23:47:14,0,0,NaN
2025-04-06 23:47:15,0,0,NaN
2025-04-06 23:47:16,0,0,NaN
2025-04-06 23:47:17,0,0,NaN
2025-04-06 23:47:18,0,0,NaN
2025-04-06 23:47:19,0,0,NaN
2025-04-06 23:47:20,0,0,NaN
2025-04-06 23:47:21,0,0,NaN
2025-04-06 23:47:22,0,0,NaN
2025-04-06 23:47:23,0,0,NaN
2025-04-06 23:47:24,0,0,NaN
2025-04-06 23:47:25,0,0,NaN
2025-04-06 23:47:26,0,0,NaN
2025-04-06 23:47:27,0,0,NaN
2025-04-06 23:47:28,0,0,NaN
2025-04-06 23:47:29,0,0,NaN
2025-04-06 23:47:30,0,0,NaN
2025-04-06 23:47:31,0,0,NaN
2025-04-06 23:47:32,0,0,NaN
2025-04-06 23:47:33,0,0,NaN
2025-04-06 23:47:34,0.0169,0,∞
2025-04-06 23:47:35,0.0172,0,∞
2025-04-06 23:47:36,0.0175,0,∞
2025-04-06 23:47:37,0.0178,0,∞
2025-04-06 23:47:38,0.0181,0,∞
2025-04-06 23:47:39,0.0675,0,∞
2025-04-06 23:47:40,0.0687,0,∞
2025-04-06 23:47:41,0.0699,0,∞
2025-04-06 23:47:42,0.0712,0,∞
2025-04-06 23:47:43,0.0724,0,∞
2025-04-06 23:47:44,0.405,0,∞
2025-04-06 23:47:45,0.412,0,∞
2025-04-06 23:47:46,0.420,0,∞
2025-04-06 23:47:47,0.427,0,∞
2025-04-06 23:47:48,0.434,0,∞
2025-04-06 23:47:49,0.878,0,∞
2025-04-06 23:47:50,0.894,0,∞
2025-04-06 23:47:51,0.909,0,∞
2025-04-06 23:47:52,0.925,0,∞
2025-04-06 23:47:53,0.941,0,∞
2025-04-06 23:47:54,1.57,0,∞
2025-04-06 23:47:55,1.60,0,∞
2025-04-06 23:47:56,1.63,0,∞
2025-04-06 23:47:57,1.65,0,∞
2025-04-06 23:47:58,1.68,0,∞
2025-04-06 23:47:59,2.52,0,∞
2025-04-06 23:48:00,2.56,0,∞
2025-04-06 23:48:01,2.61,0,∞
2025-04-06 23:48:02,2.65,0,∞
2025-04-06 23:48:03,2.70,0,∞
2025-04-06 23:48:04,3.60,0,∞
2025-04-06 23:48:05,3.66,0,∞
2025-04-06 23:48:06,3.72,0,∞
2025-04-06 23:48:07,3.79,0,∞
2025-04-06 23:48:08,3.85,0,∞
2025-04-06 23:48:09,4.95,0,∞
2025-04-06 23:48:10,5.03,0,∞
2025-04-06 23:48:11,5.12,0,∞
2025-04-06 23:48:12,5.21,0,∞
2025-04-06 23:48:13,5.30,0,∞
2025-04-06 23:48:14,6.38,0,∞
2025-04-06 23:48:15,6.49,0,∞
2025-04-06 23:48:16,6.61,0,∞
2025-04-06 23:48:17,6.72,0,∞
2025-04-06 23:48:18,6.84,0,∞
2025-04-06 23:48:19,8.12,0,∞
2025-04-06 23:48:20,8.26,0,∞
2025-04-06 23:48:21,8.41,0,∞
2025-04-06 23:48:22,8.56,0,∞
2025-04-06 23:48:23,8.70,0,∞
2025-04-06 23:48:24,9.81,0,∞
2025-04-06 23:48:25,9.98,0,∞
2025-04-06 23:48:26,10.2,0,∞
2025-04-06 23:48:27,10.3,0,∞
2025-04-06 23:48:28,10.5,0,∞
2025-04-06 23:48:29,11.4,0,∞
2025-04-06 23:48:30,11.6,0,∞
2025-04-06 23:48:31,11.8,0,∞
2025-04-06 23:48:32,12.0,0,∞
2025-04-06 23:48:33,12.2,0,∞
2025-04-06 23:48:34,22.5,0,∞
2025-04-06 23:48:35,22.9,0,∞
2025-04-06 23:48:36,23.3,0,∞
2025-04-06 23:48:37,23.7,0,∞
2025-04-06 23:48:38,24.1,0,∞
2025-04-06 23:48:39,33.2,0,∞
2025-04-06 23:48:40,33.8,0,∞
2025-04-06 23:48:41,34.4,0,∞
2025-04-06 23:48:42,34.9,0,∞
2025-04-06 23:48:43,35.3,0,∞
2025-04-06 23:48:44,43.5,0,∞
2025-04-06 23:48:45,44.3,0,∞
2025-04-06 23:48:46,45.1,0,∞
2025-04-06 23:48:47,45.8,0,∞
2025-04-06 23:48:48,46.0,0,∞
2025-04-06 23:48:49,53.5,0,∞
2025-04-06 23:48:50,54.5,0,∞
2025-04-06 23:48:51,55.4,0,∞
2025-04-06 23:48:52,56.0,0,∞
2025-04-06 23:48:53,56.0,0,∞
2025-04-06 23:48:54,63.2,0,∞
2025-04-06 23:48:55,64.3,0,∞
2025-04-06 23:48:56,65.4,0,∞
2025-04-06 23:48:57,65.4,0,∞
2025-04-06 23:48:58,65.4,0,∞
2025-04-06 23:48:59,72.5,0,∞
2025-04-06 23:49:00,73.7,0,∞
2025-04-06 23:49:01,74.2,0,∞
2025-04-06 23:49:02,74.2,0,∞
2025-04-06 23:49:03,74.2,0,∞
2025-04-06 23:49:04,81.4,0,∞
2025-04-06 23:49:05,82.4,0,∞
2025-04-06 23:49:06,82.4,0,∞
2025-04-06 23:49:07,82.4,0,∞
2025-04-06 23:49:08,82.4,0,∞
2025-04-06 23:49:09,90.0,0,∞
2025-04-06 23:49:10,90.2,0,∞
2025-04-06 23:49:11,90.2,0,∞
2025-04-06 23:49:12,90.2,0,∞
2025-04-06 23:49:13,90.2,0,∞
2025-04-06 23:49:14,97.2,0,∞
2025-04-06 23:49:15,97.2,0,∞
2025-04-06 23:49:16,97.2,0,∞
2025-04-06 23:49:17,97.2,0,∞
2025-04-06 23:49:18,97.2,0,∞
2025-04-06 23:49:19,104,0,∞
2025-04-06 23:49:20,104,0,∞
2025-04-06 23:49:21,104,0,∞
2025-04-06 23:49:22,104,0,∞
2025-04-06 23:49:23,104,0,∞
2025-04-06 23:49:24,110,0,∞
2025-04-06 23:49:25,110,0,∞
2025-04-06 23:49:26,110,0,∞
2025-04-06 23:49:27,110,0,∞
2025-04-06 23:49:28,110,0,∞
2025-04-06 23:49:29,106,0,∞
2025-04-06 23:49:30,106,0,∞
2025-04-06 23:49:31,106,0,∞
2025-04-06 23:49:32,106,0,∞
2025-04-06 23:49:33,106,0,∞
2025-04-06 23:49:34,102,0,∞
2025-04-06 23:49:35,102,0,∞
2025-04-06 23:49:36,102,0,∞
2025-04-06 23:49:37,102,0,∞
2025-04-06 23:49:38,102,0,∞
2025-04-06 23:49:39,97.7,0,∞
2025-04-06 23:49:40,97.7,0,∞
2025-04-06 23:49:41,97.7,0,∞
2025-04-06 23:49:42,97.7,0,∞
2025-04-06 23:49:43,97.7,0,∞
2025-04-06 23:49:44,93.6,0,∞
2025-04-06 23:49:45,93.6,0,∞
2025-04-06 23:49:46,93.6,0,∞
2025-04-06 23:49:47,93.6,0,∞
2025-04-06 23:49:48,93.6,0,∞
2025-04-06 23:49:49,89.4,0,∞
2025-04-06 23:49:50,89.4,0,∞
2025-04-06 23:49:51,89.4,0,∞
2025-04-06 23:49:52,89.4,0,∞
2025-04-06 23:49:53,89.4,0,∞
2025-04-06 23:49:54,79.4,0,∞
2025-04-06 23:49:55,79.4,0,∞
2025-04-06 23:49:56,79.4,0,∞
2025-04-06 23:49:57,79.4,0,∞
2025-04-06 23:49:58,79.4,0,∞
2025-04-06 23:49:59,75.5,0,∞
2025-04-06 23:50:00,75.5,0,∞
2025-04-06 23:50:01,75.5,0,∞
2025-04-06 23:50:02,75.5,0,∞
2025-04-06 23:50:03,75.5,0,∞
2025-04-06 23:50:04,71.7,0,∞
2025-04-06 23:50:05,71.7,0,∞
2025-04-06 23:50:06,71.7,0,∞
2025-04-06 23:50:07,71.7,0,∞
2025-04-06 23:50:08,71.7,0,∞
2025-04-06 23:50:09,67.9,0,∞
2025-04-06 23:50:10,67.9,0,∞
2025-04-06 23:50:11,67.9,0,∞
2025-04-06 23:50:12,67.9,0,∞
2025-04-06 23:50:13,67.9,0,∞
2025-04-06 23:50:14,64.1,0,∞
2025-04-06 23:50:15,64.1,0,∞
2025-04-06 23:50:16,64.1,0,∞
2025-04-06 23:50:17,64.1,0,∞
2025-04-06 23:50:18,64.1,0,∞
2025-04-06 23:50:19,60.3,0,∞
2025-04-06 23:50:20,60.3,0,∞
2025-04-06 23:50:21,60.3,0,∞
2025-04-06 23:50:22,60.3,0,∞
2025-04-06 23:50:23,60.3,0,∞
2025-04-06 23:50:24,56.5,0,∞
2025-04-06 23:50:25,56.5,0,∞
2025-04-06 23:50:26,56.5,0,∞
2025-04-06 23:50:27,56.5,0,∞
2025-04-06 23:50:28,56.5,0,∞
2025-04-06 23:50:29,52.7,0,∞
2025-04-06 23:50:30,52.7,0,∞
2025-04-06 23:50:31,52.7,0,∞
2025-04-06 23:50:32,52.7,0,∞
2025-04-06 23:50:33,52.7,0,∞
2025-04-06 23:50:34,48.9,0,∞
2025-04-06 23:50:35,48.9,0,∞
2025-04-06 23:50:36,48.9,0,∞
2025-04-06 23:50:37,48.9,0,∞
2025-04-06 23:50:38,48.9,0,∞
2025-04-06 23:50:39,45.2,0,∞
2025-04-06 23:50:40,45.2,0,∞
2025-04-06 23:50:41,45.2,0,∞
2025-04-06 23:50:42,45.2,0,∞
2025-04-06 23:50:43,45.2,0,∞
2025-04-06 23:50:44,41.4,0,∞
2025-04-06 23:50:45,41.4,0,∞
2025-04-06 23:50:46,41.4,0,∞
2025-04-06 23:50:47,41.4,0,∞
2025-04-06 23:50:48,41.4,0,∞
2025-04-06 23:50:49,43.5,0,∞
2025-04-06 23:50:50,43.5,0,∞
2025-04-06 23:50:51,43.5,0,∞
2025-04-06 23:50:52,43.5,0,∞
2025-04-06 23:50:53,43.5,0,∞
2025-04-06 23:50:54,39.4,0,∞
2025-04-06 23:50:55,39.4,0,∞
2025-04-06 23:50:56,39.4,0,∞
2025-04-06 23:50:57,39.4,0,∞
2025-04-06 23:50:58,39.4,0,∞
2025-04-06 23:50:59,35.3,0,∞
2025-04-06 23:51:00,35.3,0,∞
2025-04-06 23:51:01,35.3,0,∞
2025-04-06 23:51:02,35.3,0,∞
2025-04-06 23:51:03,35.3,0,∞
2025-04-06 23:51:04,31.3,0,∞
2025-04-06 23:51:05,31.3,0,∞
2025-04-06 23:51:06,31.3,0,∞
2025-04-06 23:51:07,31.3,0,∞
2025-04-06 23:51:08,31.3,0,∞
2025-04-06 23:51:09,27.3,0,∞
2025-04-06 23:51:10,27.3,0,∞
2025-04-06 23:51:11,27.3,0,∞
2025-04-06 23:51:12,27.3,0,∞
2025-04-06 23:51:13,27.3,0,∞
2025-04-06 23:51:14,23.3,0,∞
2025-04-06 23:51:15,23.3,0,∞
2025-04-06 23:51:16,23.3,0,∞
2025-04-06 23:51:17,23.3,0,∞
2025-04-06 23:51:18,23.3,0,∞
2025-04-06 23:51:19,19.3,0,∞
2025-04-06 23:51:20,19.3,0,∞
2025-04-06 23:51:21,19.3,0,∞
2025-04-06 23:51:22,19.3,0,∞
2025-04-06 23:51:23,19.3,0,∞
2025-04-06 23:51:24,15.8,0,∞
2025-04-06 23:51:25,15.8,0,∞
2025-04-06 23:51:26,15.8,0,∞
2025-04-06 23:51:27,15.8,0,∞
2025-04-06 23:51:28,15.8,0,∞
2025-04-06 23:51:29,12.6,0,∞
2025-04-06 23:51:30,12.6,0,∞
2025-04-06 23:51:31,12.6,0,∞
2025-04-06 23:51:32,12.6,0,∞
2025-04-06 23:51:33,12.6,0,∞
2025-04-06 23:51:34,9.75,0,∞
2025-04-06 23:51:35,9.75,0,∞
2025-04-06 23:51:36,9.75,0,∞
2025-04-06 23:51:37,9.75,0,∞
2025-04-06 23:51:38,9.75,0,∞
2025-04-06 23:51:39,7.29,0,∞
2025-04-06 23:51:40,7.29,0,∞
2025-04-06 23:51:41,7.29,0,∞
2025-04-06 23:51:42,7.29,0,∞
2025-04-06 23:51:43,7.29,0,∞
2025-04-06 23:51:44,5.22,0,∞
2025-04-06 23:51:45,5.22,0,∞
2025-04-06 23:51:46,5.22,0,∞
2025-04-06 23:51:47,5.22,0,∞
2025-04-06 23:51:48,5.22,0,∞
2025-04-06 23:51:49,3.49,0,∞
2025-04-06 23:51:50,3.49,0,∞
2025-04-06 23:51:51,3.49,0,∞
2025-04-06 23:51:52,3.49,0,∞
2025-04-06 23:51:53,3.49,0,∞
2025-04-06 23:51:54,2.11,0,∞
2025-04-06 23:51:55,2.11,0,∞
2025-04-06 23:51:56,2.11,0,∞
2025-04-06 23:51:57,2.11,0,∞
2025-04-06 23:51:58,2.11,0,∞
2025-04-06 23:51:59,1.07,0,∞
2025-04-06 23:52:00,1.07,0,∞
