"Time","C {__name__=""rabbitmq_channel_messages_unacked"", instance=""rabbitmq:15692"", job=""rabbitmq""}"
2025-04-06 23:47:00,0.000
2025-04-06 23:47:01,0.000
2025-04-06 23:47:02,0.000
2025-04-06 23:47:03,0.000
2025-04-06 23:47:04,0.000
2025-04-06 23:47:05,0.000
2025-04-06 23:47:06,0.000
2025-04-06 23:47:07,0.000
2025-04-06 23:47:08,0.000
2025-04-06 23:47:09,0.000
2025-04-06 23:47:10,0.000
2025-04-06 23:47:11,0.000
2025-04-06 23:47:12,0.000
2025-04-06 23:47:13,0.000
2025-04-06 23:47:14,0.000
2025-04-06 23:47:15,0.000
2025-04-06 23:47:16,0.000
2025-04-06 23:47:17,0.000
2025-04-06 23:47:18,0.000
2025-04-06 23:47:19,0.000
2025-04-06 23:47:20,0.000
2025-04-06 23:47:21,0.000
2025-04-06 23:47:22,0.000
2025-04-06 23:47:23,0.000
2025-04-06 23:47:24,0.000
2025-04-06 23:47:25,0.000
2025-04-06 23:47:26,0.000
2025-04-06 23:47:27,0.000
2025-04-06 23:47:28,0.000
2025-04-06 23:47:29,0.000
2025-04-06 23:47:30,0.000
2025-04-06 23:47:31,0.000
2025-04-06 23:47:32,0.000
2025-04-06 23:47:33,0.000
2025-04-06 23:47:34,16.355
2025-04-06 23:47:35,16.301
2025-04-06 23:47:36,16.247
2025-04-06 23:47:37,16.194
2025-04-06 23:47:38,16.140
2025-04-06 23:47:39,7.814
2025-04-06 23:47:40,7.788
2025-04-06 23:47:41,7.762
2025-04-06 23:47:42,7.737
2025-04-06 23:47:43,7.711
2025-04-06 23:47:44,5.134
2025-04-06 23:47:45,5.116
2025-04-06 23:47:46,5.099
2025-04-06 23:47:47,5.082
2025-04-06 23:47:48,5.065
2025-04-06 23:47:49,3.774
2025-04-06 23:47:50,3.761
2025-04-06 23:47:51,3.749
2025-04-06 23:47:52,3.736
2025-04-06 23:47:53,3.724
2025-04-06 23:47:54,3.014
2025-04-06 23:47:55,3.004
2025-04-06 23:47:56,2.994
2025-04-06 23:47:57,2.984
2025-04-06 23:47:58,2.974
2025-04-06 23:47:59,2.509
2025-04-06 23:48:00,2.500
2025-04-06 23:48:01,2.492
2025-04-06 23:48:02,2.484
2025-04-06 23:48:03,2.475
2025-04-06 23:48:04,2.164
2025-04-06 23:48:05,2.157
2025-04-06 23:48:06,2.150
2025-04-06 23:48:07,2.142
2025-04-06 23:48:08,2.135
2025-04-06 23:48:09,1.891
2025-04-06 23:48:10,1.884
2025-04-06 23:48:11,1.878
2025-04-06 23:48:12,1.872
2025-04-06 23:48:13,1.865
2025-04-06 23:48:14,1.679
2025-04-06 23:48:15,1.673
2025-04-06 23:48:16,1.667
2025-04-06 23:48:17,1.662
2025-04-06 23:48:18,1.656
2025-04-06 23:48:19,1.502
2025-04-06 23:48:20,1.497
2025-04-06 23:48:21,1.492
2025-04-06 23:48:22,1.487
2025-04-06 23:48:23,1.482
2025-04-06 23:48:24,1.359
2025-04-06 23:48:25,1.354
2025-04-06 23:48:26,1.349
2025-04-06 23:48:27,1.345
2025-04-06 23:48:28,1.340
2025-04-06 23:48:29,1.245
2025-04-06 23:48:30,1.241
2025-04-06 23:48:31,1.237
2025-04-06 23:48:32,1.233
2025-04-06 23:48:33,1.229
2025-04-06 23:48:34,1.150
2025-04-06 23:48:35,1.146
2025-04-06 23:48:36,1.142
2025-04-06 23:48:37,1.138
2025-04-06 23:48:38,1.134
2025-04-06 23:48:39,1.068
2025-04-06 23:48:40,1.064
2025-04-06 23:48:41,1.061
2025-04-06 23:48:42,1.057
2025-04-06 23:48:43,1.054
2025-04-06 23:48:44,0.997
2025-04-06 23:48:45,0.993
2025-04-06 23:48:46,0.990
2025-04-06 23:48:47,0.987
2025-04-06 23:48:48,0.983
2025-04-06 23:48:49,0.934
2025-04-06 23:48:50,0.931
2025-04-06 23:48:51,0.928
2025-04-06 23:48:52,0.925
2025-04-06 23:48:53,0.922
2025-04-06 23:48:54,0.877
2025-04-06 23:48:55,0.874
2025-04-06 23:48:56,0.871
2025-04-06 23:48:57,0.868
2025-04-06 23:48:58,0.865
2025-04-06 23:48:59,0.828
2025-04-06 23:49:00,0.826
2025-04-06 23:49:01,0.823
2025-04-06 23:49:02,0.820
2025-04-06 23:49:03,0.817
2025-04-06 23:49:04,0.785
2025-04-06 23:49:05,0.782
2025-04-06 23:49:06,0.780
2025-04-06 23:49:07,0.777
2025-04-06 23:49:08,0.774
2025-04-06 23:49:09,0.744
2025-04-06 23:49:10,0.741
2025-04-06 23:49:11,0.739
2025-04-06 23:49:12,0.736
2025-04-06 23:49:13,0.734
2025-04-06 23:49:14,0.709
2025-04-06 23:49:15,0.706
2025-04-06 23:49:16,0.704
2025-04-06 23:49:17,0.702
2025-04-06 23:49:18,0.699
2025-04-06 23:49:19,0.675
2025-04-06 23:49:20,0.673
2025-04-06 23:49:21,0.671
2025-04-06 23:49:22,0.668
2025-04-06 23:49:23,0.666
2025-04-06 23:49:24,0.646
2025-04-06 23:49:25,0.644
2025-04-06 23:49:26,0.642
2025-04-06 23:49:27,0.640
2025-04-06 23:49:28,0.637
2025-04-06 23:49:29,0.618
2025-04-06 23:49:30,0.616
2025-04-06 23:49:31,0.614
2025-04-06 23:49:32,0.612
2025-04-06 23:49:33,0.610
2025-04-06 23:49:34,0.593
2025-04-06 23:49:35,0.591
2025-04-06 23:49:36,0.589
2025-04-06 23:49:37,0.588
2025-04-06 23:49:38,0.586
2025-04-06 23:49:39,0.570
2025-04-06 23:49:40,0.568
2025-04-06 23:49:41,0.566
2025-04-06 23:49:42,0.564
2025-04-06 23:49:43,0.562
2025-04-06 23:49:44,0.548
2025-04-06 23:49:45,0.546
2025-04-06 23:49:46,0.544
2025-04-06 23:49:47,0.542
2025-04-06 23:49:48,0.541
2025-04-06 23:49:49,0.528
2025-04-06 23:49:50,0.527
2025-04-06 23:49:51,0.525
2025-04-06 23:49:52,0.523
2025-04-06 23:49:53,0.521
2025-04-06 23:49:54,0.510
2025-04-06 23:49:55,0.508
2025-04-06 23:49:56,0.506
2025-04-06 23:49:57,0.504
2025-04-06 23:49:58,0.503
2025-04-06 23:49:59,0.493
2025-04-06 23:50:00,0.491
2025-04-06 23:50:01,0.490
2025-04-06 23:50:02,0.488
2025-04-06 23:50:03,0.486
2025-04-06 23:50:04,0.477
2025-04-06 23:50:05,0.475
2025-04-06 23:50:06,0.474
2025-04-06 23:50:07,0.472
2025-04-06 23:50:08,0.471
2025-04-06 23:50:09,0.462
2025-04-06 23:50:10,0.461
2025-04-06 23:50:11,0.459
2025-04-06 23:50:12,0.458
2025-04-06 23:50:13,0.456
2025-04-06 23:50:14,0.448
2025-04-06 23:50:15,0.446
2025-04-06 23:50:16,0.445
2025-04-06 23:50:17,0.443
2025-04-06 23:50:18,0.442
2025-04-06 23:50:19,0.435
2025-04-06 23:50:20,0.433
2025-04-06 23:50:21,0.432
2025-04-06 23:50:22,0.430
2025-04-06 23:50:23,0.429
2025-04-06 23:50:24,0.423
2025-04-06 23:50:25,0.421
2025-04-06 23:50:26,0.420
2025-04-06 23:50:27,0.418
2025-04-06 23:50:28,0.417
2025-04-06 23:50:29,0.410
2025-04-06 23:50:30,0.409
2025-04-06 23:50:31,0.408
2025-04-06 23:50:32,0.406
2025-04-06 23:50:33,0.405
2025-04-06 23:50:34,0.400
2025-04-06 23:50:35,0.399
2025-04-06 23:50:36,0.398
2025-04-06 23:50:37,0.396
2025-04-06 23:50:38,0.395
2025-04-06 23:50:39,0.390
2025-04-06 23:50:40,0.388
2025-04-06 23:50:41,0.387
2025-04-06 23:50:42,0.386
2025-04-06 23:50:43,0.384
2025-04-06 23:50:44,0.379
2025-04-06 23:50:45,0.378
2025-04-06 23:50:46,0.377
2025-04-06 23:50:47,0.375
2025-04-06 23:50:48,0.374
2025-04-06 23:50:49,0.370
2025-04-06 23:50:50,0.369
2025-04-06 23:50:51,0.368
2025-04-06 23:50:52,0.367
2025-04-06 23:50:53,0.365
2025-04-06 23:50:54,0.362
2025-04-06 23:50:55,0.361
2025-04-06 23:50:56,0.359
2025-04-06 23:50:57,0.358
2025-04-06 23:50:58,0.357
2025-04-06 23:50:59,0.354
2025-04-06 23:51:00,0.353
2025-04-06 23:51:01,0.352
2025-04-06 23:51:02,0.351
2025-04-06 23:51:03,0.349
2025-04-06 23:51:04,0.346
2025-04-06 23:51:05,0.345
2025-04-06 23:51:06,0.344
2025-04-06 23:51:07,0.343
2025-04-06 23:51:08,0.342
2025-04-06 23:51:09,0.340
2025-04-06 23:51:10,0.339
2025-04-06 23:51:11,0.338
2025-04-06 23:51:12,0.337
2025-04-06 23:51:13,0.335
2025-04-06 23:51:14,0.332
2025-04-06 23:51:15,0.331
2025-04-06 23:51:16,0.330
2025-04-06 23:51:17,0.329
2025-04-06 23:51:18,0.328
2025-04-06 23:51:19,0.000
2025-04-06 23:51:20,0.000
2025-04-06 23:51:21,0.000
2025-04-06 23:51:22,0.000
2025-04-06 23:51:23,0.000
2025-04-06 23:51:24,0.000
2025-04-06 23:51:25,0.000
2025-04-06 23:51:26,0.000
2025-04-06 23:51:27,0.000
2025-04-06 23:51:28,0.000
2025-04-06 23:51:29,0.000
2025-04-06 23:51:30,0.000
2025-04-06 23:51:31,0.000
2025-04-06 23:51:32,0.000
2025-04-06 23:51:33,0.000
2025-04-06 23:51:34,0.000
2025-04-06 23:51:35,0.000
2025-04-06 23:51:36,0.000
2025-04-06 23:51:37,0.000
2025-04-06 23:51:38,0.000
2025-04-06 23:51:39,0.000
2025-04-06 23:51:40,0.000
2025-04-06 23:51:41,0.000
2025-04-06 23:51:42,0.000
2025-04-06 23:51:43,0.000
2025-04-06 23:51:44,0.000
2025-04-06 23:51:45,0.000
2025-04-06 23:51:46,0.000
2025-04-06 23:51:47,0.000
2025-04-06 23:51:48,0.000
2025-04-06 23:51:49,0.000
2025-04-06 23:51:50,0.000
2025-04-06 23:51:51,0.000
2025-04-06 23:51:52,0.000
2025-04-06 23:51:53,0.000
2025-04-06 23:51:54,0.000
2025-04-06 23:51:55,0.000
2025-04-06 23:51:56,0.000
2025-04-06 23:51:57,0.000
2025-04-06 23:51:58,0.000
2025-04-06 23:51:59,0.000
2025-04-06 23:52:00,0.000
