"Time","rabbit@rabbitmq-77d46f474f-ng7cg"
2025-04-06 23:47:00,4.4615 GiB
2025-04-06 23:47:01,4.4615 GiB
2025-04-06 23:47:02,4.4615 GiB
2025-04-06 23:47:03,4.4615 GiB
2025-04-06 23:47:04,4.4606 GiB
2025-04-06 23:47:05,4.4606 GiB
2025-04-06 23:47:06,4.4606 GiB
2025-04-06 23:47:07,4.4606 GiB
2025-04-06 23:47:08,4.4606 GiB
2025-04-06 23:47:09,4.4607 GiB
2025-04-06 23:47:10,4.4607 GiB
2025-04-06 23:47:11,4.4607 GiB
2025-04-06 23:47:12,4.4607 GiB
2025-04-06 23:47:13,4.4607 GiB
2025-04-06 23:47:14,4.4596 GiB
2025-04-06 23:47:15,4.4596 GiB
2025-04-06 23:47:16,4.4596 GiB
2025-04-06 23:47:17,4.4596 GiB
2025-04-06 23:47:18,4.4596 GiB
2025-04-06 23:47:19,4.4602 GiB
2025-04-06 23:47:20,4.4602 GiB
2025-04-06 23:47:21,4.4602 GiB
2025-04-06 23:47:22,4.4602 GiB
2025-04-06 23:47:23,4.4602 GiB
2025-04-06 23:47:24,4.4602 GiB
2025-04-06 23:47:25,4.4602 GiB
2025-04-06 23:47:26,4.4602 GiB
2025-04-06 23:47:27,4.4602 GiB
2025-04-06 23:47:28,4.4602 GiB
2025-04-06 23:47:29,4.4591 GiB
2025-04-06 23:47:30,4.4591 GiB
2025-04-06 23:47:31,4.4591 GiB
2025-04-06 23:47:32,4.4591 GiB
2025-04-06 23:47:33,4.4591 GiB
2025-04-06 23:47:34,4.4545 GiB
2025-04-06 23:47:35,4.4545 GiB
2025-04-06 23:47:36,4.4545 GiB
2025-04-06 23:47:37,4.4545 GiB
2025-04-06 23:47:38,4.4545 GiB
2025-04-06 23:47:39,4.4521 GiB
2025-04-06 23:47:40,4.4521 GiB
2025-04-06 23:47:41,4.4521 GiB
2025-04-06 23:47:42,4.4521 GiB
2025-04-06 23:47:43,4.4521 GiB
2025-04-06 23:47:44,4.4484 GiB
2025-04-06 23:47:45,4.4484 GiB
2025-04-06 23:47:46,4.4484 GiB
2025-04-06 23:47:47,4.4484 GiB
2025-04-06 23:47:48,4.4484 GiB
2025-04-06 23:47:49,4.4429 GiB
2025-04-06 23:47:50,4.4429 GiB
2025-04-06 23:47:51,4.4429 GiB
2025-04-06 23:47:52,4.4429 GiB
2025-04-06 23:47:53,4.4429 GiB
2025-04-06 23:47:54,4.4364 GiB
