"Time","{instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}","{instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}","B {instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}"
2025-04-08 21:13:00,0,0,NaN
2025-04-08 21:13:01,0,0,NaN
2025-04-08 21:13:02,0,0,NaN
2025-04-08 21:13:03,0,0,NaN
2025-04-08 21:13:04,0,0,NaN
2025-04-08 21:13:05,0,0,NaN
2025-04-08 21:13:06,0,0,NaN
2025-04-08 21:13:07,0,0,NaN
2025-04-08 21:13:08,0,0,NaN
2025-04-08 21:13:09,0,0,NaN
2025-04-08 21:13:10,0,0,NaN
2025-04-08 21:13:11,0,0,NaN
2025-04-08 21:13:12,0,0,NaN
2025-04-08 21:13:13,0,0,NaN
2025-04-08 21:13:14,0,0,NaN
2025-04-08 21:13:15,0,0,NaN
2025-04-08 21:13:16,0,0,NaN
2025-04-08 21:13:17,0,0,NaN
2025-04-08 21:13:18,0,0,NaN
2025-04-08 21:13:19,0,0,NaN
2025-04-08 21:13:20,0,0,NaN
2025-04-08 21:13:21,0,0,NaN
2025-04-08 21:13:22,0,0,NaN
2025-04-08 21:13:23,0,0,NaN
2025-04-08 21:13:24,0,0,NaN
2025-04-08 21:13:25,0,0,NaN
2025-04-08 21:13:26,0,0,NaN
2025-04-08 21:13:27,0,0,NaN
2025-04-08 21:13:28,0,0,NaN
2025-04-08 21:13:29,0,0,NaN
2025-04-08 21:13:30,0,0,NaN
2025-04-08 21:13:31,0,0,NaN
2025-04-08 21:13:32,0,0,NaN
2025-04-08 21:13:33,0,0,NaN
2025-04-08 21:13:34,0.288,0,∞
2025-04-08 21:13:35,0.295,0,∞
2025-04-08 21:13:36,0.301,0,∞
2025-04-08 21:13:37,0.307,0,∞
2025-04-08 21:13:38,0.314,0,∞
2025-04-08 21:13:39,0.320,0,∞
2025-04-08 21:13:40,0.326,0,∞
2025-04-08 21:13:41,0.332,0,∞
2025-04-08 21:13:42,0.339,0,∞
2025-04-08 21:13:43,0.345,0,∞
2025-04-08 21:13:44,0.351,0,∞
2025-04-08 21:13:45,0.358,0,∞
2025-04-08 21:13:46,0.364,0,∞
2025-04-08 21:13:47,0.370,0,∞
2025-04-08 21:13:48,0.377,0,∞
2025-04-08 21:13:49,1.05,0,∞
2025-04-08 21:13:50,1.07,0,∞
2025-04-08 21:13:51,1.10,0,∞
2025-04-08 21:13:52,1.12,0,∞
2025-04-08 21:13:53,1.14,0,∞
2025-04-08 21:13:54,1.17,0,∞
2025-04-08 21:13:55,1.19,0,∞
2025-04-08 21:13:56,1.21,0,∞
2025-04-08 21:13:57,1.24,0,∞
2025-04-08 21:13:58,1.26,0,∞
2025-04-08 21:13:59,1.28,0,∞
2025-04-08 21:14:00,1.30,0,∞
2025-04-08 21:14:01,1.33,0,∞
2025-04-08 21:14:02,1.35,0,∞
2025-04-08 21:14:03,1.37,0,∞
2025-04-08 21:14:04,1.68,0,∞
2025-04-08 21:14:05,1.72,0,∞
2025-04-08 21:14:06,1.75,0,∞
2025-04-08 21:14:07,1.79,0,∞
2025-04-08 21:14:08,1.83,0,∞
2025-04-08 21:14:09,1.86,0,∞
2025-04-08 21:14:10,1.90,0,∞
2025-04-08 21:14:11,1.94,0,∞
2025-04-08 21:14:12,1.97,0,∞
2025-04-08 21:14:13,2.01,0,∞
2025-04-08 21:14:14,2.05,0,∞
2025-04-08 21:14:15,2.08,0,∞
2025-04-08 21:14:16,2.12,0,∞
2025-04-08 21:14:17,2.16,0,∞
2025-04-08 21:14:18,2.19,0,∞
2025-04-08 21:14:19,2.23,0,∞
2025-04-08 21:14:20,2.28,0,∞
2025-04-08 21:14:21,2.32,0,∞
2025-04-08 21:14:22,2.36,0,∞
2025-04-08 21:14:23,2.40,0,∞
2025-04-08 21:14:24,2.45,0,∞
2025-04-08 21:14:25,2.49,0,∞
2025-04-08 21:14:26,2.53,0,∞
2025-04-08 21:14:27,2.56,0,∞
2025-04-08 21:14:28,2.56,0,∞
2025-04-08 21:14:29,2.56,0,∞
2025-04-08 21:14:30,2.56,0,∞
2025-04-08 21:14:31,2.56,0,∞
2025-04-08 21:14:32,2.56,0,∞
2025-04-08 21:14:33,2.56,0,∞
2025-04-08 21:14:34,3.04,0,∞
2025-04-08 21:14:35,3.04,0,∞
2025-04-08 21:14:36,3.04,0,∞
2025-04-08 21:14:37,3.04,0,∞
2025-04-08 21:14:38,3.04,0,∞
2025-04-08 21:14:39,3.04,0,∞
2025-04-08 21:14:40,3.04,0,∞
2025-04-08 21:14:41,3.04,0,∞
