"Time","{instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}","{instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}","C {instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}"
2025-04-08 21:13:00,0.000,0.000,0.000
2025-04-08 21:13:01,0.000,0.000,0.000
2025-04-08 21:13:02,0.000,0.000,0.000
2025-04-08 21:13:03,0.000,0.000,0.000
2025-04-08 21:13:04,0.000,0.000,0.000
2025-04-08 21:13:05,0.000,0.000,0.000
2025-04-08 21:13:06,0.000,0.000,0.000
2025-04-08 21:13:07,0.000,0.000,0.000
2025-04-08 21:13:08,0.000,0.000,0.000
2025-04-08 21:13:09,0.000,0.000,0.000
2025-04-08 21:13:10,0.000,0.000,0.000
2025-04-08 21:13:11,0.000,0.000,0.000
2025-04-08 21:13:12,0.000,0.000,0.000
2025-04-08 21:13:13,0.000,0.000,0.000
2025-04-08 21:13:14,0.000,0.000,0.000
2025-04-08 21:13:15,0.000,0.000,0.000
2025-04-08 21:13:16,0.000,0.000,0.000
2025-04-08 21:13:17,0.000,0.000,0.000
2025-04-08 21:13:18,0.000,0.000,0.000
2025-04-08 21:13:19,0.014,0.014,0.933
2025-04-08 21:13:20,0.014,0.014,0.933
2025-04-08 21:13:21,0.014,0.014,0.933
2025-04-08 21:13:22,0.014,0.014,0.933
2025-04-08 21:13:23,0.014,0.014,0.933
2025-04-08 21:13:24,0.014,0.014,0.933
2025-04-08 21:13:25,0.014,0.014,0.933
2025-04-08 21:13:26,0.014,0.014,0.933
2025-04-08 21:13:27,0.014,0.014,0.933
2025-04-08 21:13:28,0.014,0.014,0.933
2025-04-08 21:13:29,0.014,0.014,0.933
2025-04-08 21:13:30,0.014,0.014,0.933
2025-04-08 21:13:31,0.014,0.014,0.933
2025-04-08 21:13:32,0.014,0.014,0.933
2025-04-08 21:13:33,0.014,0.014,0.933
2025-04-08 21:13:34,0.228,0.144,1.574
2025-04-08 21:13:35,0.228,0.144,1.574
2025-04-08 21:13:36,0.228,0.144,1.574
2025-04-08 21:13:37,0.228,0.144,1.574
2025-04-08 21:13:38,0.228,0.144,1.574
2025-04-08 21:13:39,0.228,0.144,1.574
2025-04-08 21:13:40,0.228,0.144,1.574
2025-04-08 21:13:41,0.228,0.144,1.574
2025-04-08 21:13:42,0.228,0.144,1.574
2025-04-08 21:13:43,0.228,0.144,1.574
2025-04-08 21:13:44,0.228,0.144,1.574
2025-04-08 21:13:45,0.228,0.144,1.574
2025-04-08 21:13:46,0.228,0.144,1.574
2025-04-08 21:13:47,0.228,0.144,1.574
2025-04-08 21:13:48,0.228,0.144,1.574
2025-04-08 21:13:49,0.523,0.277,1.879
2025-04-08 21:13:50,0.523,0.277,1.879
2025-04-08 21:13:51,0.523,0.277,1.879
2025-04-08 21:13:52,0.523,0.277,1.879
2025-04-08 21:13:53,0.523,0.277,1.879
2025-04-08 21:13:54,0.523,0.277,1.879
2025-04-08 21:13:55,0.523,0.277,1.879
2025-04-08 21:13:56,0.523,0.277,1.879
2025-04-08 21:13:57,0.523,0.277,1.879
2025-04-08 21:13:58,0.523,0.277,1.879
2025-04-08 21:13:59,0.523,0.277,1.879
2025-04-08 21:14:00,0.523,0.277,1.879
2025-04-08 21:14:01,0.523,0.277,1.879
2025-04-08 21:14:02,0.523,0.277,1.879
2025-04-08 21:14:03,0.523,0.277,1.879
2025-04-08 21:14:04,0.772,0.425,1.814
2025-04-08 21:14:05,0.772,0.425,1.814
2025-04-08 21:14:06,0.772,0.425,1.814
2025-04-08 21:14:07,0.772,0.425,1.814
2025-04-08 21:14:08,0.772,0.425,1.814
2025-04-08 21:14:09,0.772,0.425,1.814
2025-04-08 21:14:10,0.772,0.425,1.814
2025-04-08 21:14:11,0.772,0.425,1.814
2025-04-08 21:14:12,0.772,0.425,1.814
2025-04-08 21:14:13,0.772,0.425,1.814
2025-04-08 21:14:14,0.772,0.425,1.814
2025-04-08 21:14:15,0.772,0.425,1.814
2025-04-08 21:14:16,0.772,0.425,1.814
2025-04-08 21:14:17,0.772,0.425,1.814
2025-04-08 21:14:18,0.772,0.425,1.814
2025-04-08 21:14:19,1.007,0.533,1.885
2025-04-08 21:14:20,1.007,0.533,1.885
2025-04-08 21:14:21,1.007,0.533,1.885
2025-04-08 21:14:22,1.007,0.533,1.885
2025-04-08 21:14:23,1.007,0.533,1.885
2025-04-08 21:14:24,1.007,0.533,1.885
2025-04-08 21:14:25,1.007,0.533,1.885
2025-04-08 21:14:26,1.007,0.533,1.885
2025-04-08 21:14:27,1.007,0.533,1.885
2025-04-08 21:14:28,1.007,0.533,1.885
2025-04-08 21:14:29,1.007,0.533,1.885
2025-04-08 21:14:30,1.007,0.533,1.885
2025-04-08 21:14:31,1.007,0.533,1.885
2025-04-08 21:14:32,1.007,0.533,1.885
2025-04-08 21:14:33,1.007,0.533,1.885
2025-04-08 21:14:34,1.344,0.660,2.034
2025-04-08 21:14:35,1.344,0.660,2.034
2025-04-08 21:14:36,1.344,0.660,2.034
2025-04-08 21:14:37,1.344,0.660,2.034
2025-04-08 21:14:38,1.344,0.660,2.034
2025-04-08 21:14:39,1.344,0.660,2.034
2025-04-08 21:14:40,1.344,0.660,2.034
2025-04-08 21:14:41,1.344,0.660,2.034
2025-04-08 21:14:42,1.344,0.660,2.034
2025-04-08 21:14:43,1.344,0.660,2.034
2025-04-08 21:14:44,1.344,0.660,2.034
2025-04-08 21:14:45,1.344,0.660,2.034
2025-04-08 21:14:46,1.344,0.660,2.034
2025-04-08 21:14:47,1.344,0.660,2.034
2025-04-08 21:14:48,1.344,0.660,2.034
2025-04-08 21:14:49,1.344,0.789,1.700
2025-04-08 21:14:50,1.344,0.789,1.700
2025-04-08 21:14:51,1.344,0.789,1.700
2025-04-08 21:14:52,1.344,0.789,1.700
2025-04-08 21:14:53,1.344,0.789,1.700
2025-04-08 21:14:54,1.344,0.789,1.700
2025-04-08 21:14:55,1.344,0.789,1.700
2025-04-08 21:14:56,1.344,0.789,1.700
2025-04-08 21:14:57,1.344,0.789,1.700
2025-04-08 21:14:58,1.344,0.789,1.700
2025-04-08 21:14:59,1.344,0.789,1.700
2025-04-08 21:15:00,1.344,0.789,1.700
2025-04-08 21:15:01,1.344,0.789,1.700
2025-04-08 21:15:02,1.344,0.789,1.700
2025-04-08 21:15:03,1.344,0.789,1.700
2025-04-08 21:15:04,1.344,0.919,1.460
2025-04-08 21:15:05,1.344,0.919,1.460
2025-04-08 21:15:06,1.344,0.919,1.460
2025-04-08 21:15:07,1.344,0.919,1.460
2025-04-08 21:15:08,1.344,0.919,1.460
2025-04-08 21:15:09,1.344,0.919,1.460
2025-04-08 21:15:10,1.344,0.919,1.460
2025-04-08 21:15:11,1.344,0.919,1.460
2025-04-08 21:15:12,1.344,0.919,1.460
2025-04-08 21:15:13,1.344,0.919,1.460
2025-04-08 21:15:14,1.344,0.919,1.460
2025-04-08 21:15:15,1.344,0.919,1.460
2025-04-08 21:15:16,1.344,0.919,1.460
2025-04-08 21:15:17,1.344,0.919,1.460
2025-04-08 21:15:18,1.344,0.919,1.460
2025-04-08 21:15:19,1.344,1.046,1.284
2025-04-08 21:15:20,1.344,1.046,1.284
2025-04-08 21:15:21,1.344,1.046,1.284
2025-04-08 21:15:22,1.344,1.046,1.284
2025-04-08 21:15:23,1.344,1.046,1.284
2025-04-08 21:15:24,1.344,1.046,1.284
2025-04-08 21:15:25,1.344,1.046,1.284
2025-04-08 21:15:26,1.344,1.046,1.284
2025-04-08 21:15:27,1.344,1.046,1.284
2025-04-08 21:15:28,1.344,1.046,1.284
2025-04-08 21:15:29,1.344,1.046,1.284
2025-04-08 21:15:30,1.344,1.046,1.284
2025-04-08 21:15:31,1.344,1.046,1.284
2025-04-08 21:15:32,1.344,1.046,1.284
2025-04-08 21:15:33,1.344,1.046,1.284
2025-04-08 21:15:34,1.344,1.179,1.139
2025-04-08 21:15:35,1.344,1.179,1.139
2025-04-08 21:15:36,1.344,1.179,1.139
2025-04-08 21:15:37,1.344,1.179,1.139
2025-04-08 21:15:38,1.344,1.179,1.139
2025-04-08 21:15:39,1.344,1.179,1.139
2025-04-08 21:15:40,1.344,1.179,1.139
2025-04-08 21:15:41,1.344,1.179,1.139
2025-04-08 21:15:42,1.344,1.179,1.139
2025-04-08 21:15:43,1.344,1.179,1.139
2025-04-08 21:15:44,1.344,1.179,1.139
2025-04-08 21:15:45,1.344,1.179,1.139
2025-04-08 21:15:46,1.344,1.179,1.139
2025-04-08 21:15:47,1.344,1.179,1.139
2025-04-08 21:15:48,1.344,1.179,1.139
2025-04-08 21:15:49,1.344,1.309,1.026
2025-04-08 21:15:50,1.344,1.309,1.026
2025-04-08 21:15:51,1.344,1.309,1.026
2025-04-08 21:15:52,1.344,1.309,1.026
